SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000161-d2o-.5mM-6-6-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.269e+00     2.092e-01  
T     =       1.886s    2653645464390205.000s  

RSS   =    1.424e+00
SD    =    2.179e-01

Point       Tau          Expt          Calc       Difference

    1       1.000s     9.112e-01     9.561e-01     4.492e-02
    2       2.000s     7.056e-01     6.488e-01    -5.681e-02
    3       3.000s     5.224e-01     4.679e-01    -5.457e-02
    4       4.000s     3.868e-01     3.614e-01    -2.532e-02
    5       5.000s     2.888e-01     2.988e-01     9.982e-03
    6       6.000s     2.204e-01     2.619e-01     4.148e-02
    7       7.000s     1.783e-01     2.402e-01     6.192e-02
    8       8.000s     1.514e-01     2.274e-01     7.605e-02
    9       9.000s     1.259e-01     2.199e-01     9.405e-02
   10      10.000s     9.929e-02     2.155e-01     1.162e-01
   11      11.000s     7.918e-02     2.129e-01     1.337e-01
   12      12.000s     6.975e-02     2.114e-01     1.416e-01
   13      13.000s     6.711e-02     2.105e-01     1.434e-01
   14      14.000s     6.609e-02     2.099e-01     1.439e-01
   15      15.000s     6.559e-02     2.096e-01     1.440e-01
   16      16.000s     6.712e-02     2.094e-01     1.423e-01
   17      17.000s     7.148e-02     2.093e-01     1.379e-01
   18      18.000s     7.732e-02     2.093e-01     1.320e-01
   19      19.000s     8.165e-02     2.092e-01     1.276e-01
   20      20.000s     8.321e-02     2.092e-01     1.260e-01
   21      21.000s     8.608e-02     2.092e-01     1.231e-01
   22      22.000s     9.832e-02     2.092e-01     1.109e-01
   23      23.000s     1.255e-01     2.092e-01     8.370e-02
   24      24.000s     1.668e-01     2.092e-01     4.240e-02
   25      25.000s     2.199e-01     2.092e-01    -1.072e-02
   26      26.000s     2.920e-01     2.092e-01    -8.284e-02
   27      27.000s     4.047e-01     2.092e-01    -1.956e-01
   28      28.000s     5.788e-01     2.092e-01    -3.696e-01
   29      29.000s     8.001e-01     2.092e-01    -5.909e-01
   30      30.000s     1.000e+00     2.092e-01    -7.908e-01

============================================================

