SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000161-d2o-.5mM-6-6-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 380 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.343e+00     9.288e-02  
T     =       2.748s       12.441s  

RSS   =    3.070e-03
SD    =    1.012e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.019e+00     1.925e-02
    2       2.000s     7.595e-01     7.278e-01    -3.164e-02
    3       3.000s     5.361e-01     5.238e-01    -1.229e-02
    4       4.000s     3.744e-01     3.807e-01     6.276e-03
    5       5.000s     2.658e-01     2.799e-01     1.410e-02
    6       6.000s     1.931e-01     2.087e-01     1.552e-02
    7       7.000s     1.480e-01     1.581e-01     1.006e-02
    8       8.000s     1.198e-01     1.219e-01     2.084e-03
    9       9.000s     9.635e-02     9.584e-02    -5.081e-04
   10      10.000s     7.642e-02     7.687e-02     4.484e-04
   11      11.000s     6.644e-02     6.289e-02    -3.550e-03
   12      12.000s     6.411e-02     5.245e-02    -1.167e-02
   13      13.000s     5.821e-02     4.451e-02    -1.370e-02
   14      14.000s     4.461e-02     3.838e-02    -6.231e-03
   15      15.000s     3.111e-02     3.354e-02     2.430e-03
   16      16.000s     2.516e-02     2.964e-02     4.488e-03
   17      17.000s     2.575e-02     2.645e-02     6.984e-04
   18      18.000s     2.843e-02     2.378e-02    -4.652e-03
   19      19.000s     3.015e-02     2.150e-02    -8.646e-03
   20      20.000s     2.829e-02     1.954e-02    -8.752e-03
   21      21.000s     2.195e-02     1.782e-02    -4.137e-03
   22      22.000s     1.523e-02     1.629e-02     1.067e-03
   23      23.000s     1.319e-02     1.493e-02     1.749e-03
   24      24.000s     1.442e-02     1.371e-02    -7.087e-04
   25      25.000s     1.302e-02     1.260e-02    -4.220e-04
   26      26.000s     7.533e-03     1.159e-02     4.060e-03
   27      27.000s     2.108e-03     1.067e-02     8.567e-03
   28      28.000s    -4.941e-04     9.834e-03     1.033e-02
   29      29.000s    -1.072e-03     9.063e-03     1.013e-02
   30      30.000s     2.655e-04     8.355e-03     8.089e-03

============================================================

