SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000004-d2o-0.5mM-7-19-11-pH-6.72/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 411 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.388e+00     3.199e-02  
T     =       3.039s       24.827s  

RSS   =    5.203e-03
SD    =    1.317e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.029e+00     2.937e-02
    2       2.000s     7.891e-01     7.482e-01    -4.090e-02
    3       3.000s     5.665e-01     5.455e-01    -2.101e-02
    4       4.000s     3.945e-01     3.994e-01     4.884e-03
    5       5.000s     2.820e-01     2.940e-01     1.194e-02
    6       6.000s     2.068e-01     2.178e-01     1.102e-02
    7       7.000s     1.505e-01     1.628e-01     1.234e-02
    8       8.000s     1.092e-01     1.230e-01     1.381e-02
    9       9.000s     8.269e-02     9.408e-02     1.139e-02
   10      10.000s     6.617e-02     7.307e-02     6.901e-03
   11      11.000s     5.411e-02     5.773e-02     3.621e-03
   12      12.000s     4.576e-02     4.649e-02     7.311e-04
   13      13.000s     4.244e-02     3.821e-02    -4.231e-03
   14      14.000s     4.248e-02     3.206e-02    -1.041e-02
   15      15.000s     4.200e-02     2.746e-02    -1.454e-02
   16      16.000s     3.938e-02     2.397e-02    -1.541e-02
   17      17.000s     3.589e-02     2.130e-02    -1.460e-02
   18      18.000s     3.238e-02     1.921e-02    -1.317e-02
   19      19.000s     2.789e-02     1.756e-02    -1.034e-02
   20      20.000s     2.200e-02     1.622e-02    -5.779e-03
   21      21.000s     1.619e-02     1.512e-02    -1.075e-03
   22      22.000s     1.210e-02     1.419e-02     2.089e-03
   23      23.000s     9.706e-03     1.339e-02     3.679e-03
   24      24.000s     8.096e-03     1.268e-02     4.588e-03
   25      25.000s     6.711e-03     1.206e-02     5.348e-03
   26      26.000s     5.293e-03     1.149e-02     6.200e-03
   27      27.000s     3.694e-03     1.098e-02     7.281e-03
   28      28.000s     2.504e-03     1.050e-02     7.991e-03
   29      29.000s     2.814e-03     1.005e-02     7.234e-03
   30      30.000s     4.594e-03     9.627e-03     5.033e-03

============================================================

