SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000004-d2o-0.5mM-7-19-11-pH-6.72/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 8587 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.766e+02    -1.753e+02  
T     =       5.259s        5.264s  

RSS   =    1.098e-02
SD    =    1.913e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.029e+00     2.936e-02
    2       2.000s     8.305e-01     8.286e-01    -1.891e-03
    3       3.000s     6.882e-01     6.664e-01    -2.177e-02
    4       4.000s     5.744e-01     5.356e-01    -3.880e-02
    5       5.000s     4.651e-01     4.301e-01    -3.496e-02
    6       6.000s     3.539e-01     3.451e-01    -8.750e-03
    7       7.000s     2.569e-01     2.766e-01     1.972e-02
    8       8.000s     1.878e-01     2.215e-01     3.367e-02
    9       9.000s     1.432e-01     1.772e-01     3.398e-02
   10      10.000s     1.121e-01     1.416e-01     2.943e-02
   11      11.000s     8.911e-02     1.130e-01     2.386e-02
   12      12.000s     7.362e-02     9.004e-02     1.642e-02
   13      13.000s     6.441e-02     7.166e-02     7.251e-03
   14      14.000s     5.893e-02     5.694e-02    -1.982e-03
   15      15.000s     5.540e-02     4.518e-02    -1.022e-02
   16      16.000s     5.234e-02     3.577e-02    -1.657e-02
   17      17.000s     4.792e-02     2.827e-02    -1.964e-02
   18      18.000s     4.174e-02     2.230e-02    -1.944e-02
   19      19.000s     3.554e-02     1.755e-02    -1.799e-02
   20      20.000s     3.045e-02     1.377e-02    -1.668e-02
   21      21.000s     2.548e-02     1.077e-02    -1.471e-02
   22      22.000s     1.982e-02     8.404e-03    -1.142e-02
   23      23.000s     1.458e-02     6.531e-03    -8.051e-03
   24      24.000s     1.093e-02     5.055e-03    -5.870e-03
   25      25.000s     8.442e-03     3.894e-03    -4.548e-03
   26      26.000s     6.749e-03     2.984e-03    -3.766e-03
   27      27.000s     6.683e-03     2.272e-03    -4.412e-03
   28      28.000s     8.239e-03     1.717e-03    -6.522e-03
   29      29.000s     9.210e-03     1.286e-03    -7.925e-03
   30      30.000s     7.892e-03     9.527e-04    -6.940e-03

============================================================

