SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000005-d2o-0.5mM-7-19-11-pH-7.4/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 376 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.367e+00     1.493e-02  
T     =       3.471s       32.998s  

RSS   =    1.012e-02
SD    =    1.836e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.039e+00     3.933e-02
    2       2.000s     8.151e-01     7.824e-01    -3.273e-02
    3       3.000s     6.358e-01     5.897e-01    -4.618e-02
    4       4.000s     4.665e-01     4.451e-01    -2.143e-02
    5       5.000s     3.233e-01     3.366e-01     1.332e-02
    6       6.000s     2.250e-01     2.552e-01     3.015e-02
    7       7.000s     1.674e-01     1.941e-01     2.665e-02
    8       8.000s     1.288e-01     1.481e-01     1.938e-02
    9       9.000s     9.681e-02     1.136e-01     1.684e-02
   10      10.000s     7.397e-02     8.771e-02     1.373e-02
   11      11.000s     6.160e-02     6.819e-02     6.585e-03
   12      12.000s     5.423e-02     5.348e-02    -7.500e-04
   13      13.000s     4.882e-02     4.238e-02    -6.437e-03
   14      14.000s     4.704e-02     3.399e-02    -1.305e-02
   15      15.000s     4.732e-02     2.764e-02    -1.968e-02
   16      16.000s     4.425e-02     2.281e-02    -2.144e-02
   17      17.000s     3.703e-02     1.913e-02    -1.790e-02
   18      18.000s     3.043e-02     1.631e-02    -1.412e-02
   19      19.000s     2.636e-02     1.413e-02    -1.223e-02
   20      20.000s     2.156e-02     1.245e-02    -9.113e-03
   21      21.000s     1.466e-02     1.113e-02    -3.530e-03
   22      22.000s     8.881e-03     1.008e-02     1.202e-03
   23      23.000s     6.114e-03     9.249e-03     3.136e-03
   24      24.000s     4.110e-03     8.574e-03     4.463e-03
   25      25.000s     1.372e-03     8.018e-03     6.647e-03
   26      26.000s    -3.686e-04     7.554e-03     7.923e-03
   27      27.000s    -2.450e-04     7.161e-03     7.406e-03
   28      28.000s    -3.064e-04     6.821e-03     7.127e-03
   29      29.000s    -1.707e-03     6.522e-03     8.230e-03
   30      30.000s    -2.868e-03     6.257e-03     9.125e-03

============================================================

