SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000005-d2o-0.5mM-7-19-11-pH-7.4/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 148 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.387e+00     2.055e-02  
T     =       3.263s      165.764s  

RSS   =    9.079e-03
SD    =    1.740e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.041e+00     4.118e-02
    2       2.000s     8.216e-01     7.716e-01    -4.995e-02
    3       3.000s     6.068e-01     5.732e-01    -3.362e-02
    4       4.000s     4.289e-01     4.271e-01    -1.842e-03
    5       5.000s     3.068e-01     3.195e-01     1.273e-02
    6       6.000s     2.222e-01     2.403e-01     1.807e-02
    7       7.000s     1.607e-01     1.820e-01     2.130e-02
    8       8.000s     1.195e-01     1.390e-01     1.950e-02
    9       9.000s     9.372e-02     1.074e-01     1.367e-02
   10      10.000s     7.446e-02     8.406e-02     9.599e-03
   11      11.000s     5.947e-02     6.686e-02     7.392e-03
   12      12.000s     5.171e-02     5.417e-02     2.468e-03
   13      13.000s     4.973e-02     4.481e-02    -4.922e-03
   14      14.000s     4.836e-02     3.788e-02    -1.048e-02
   15      15.000s     4.659e-02     3.275e-02    -1.384e-02
   16      16.000s     4.649e-02     2.895e-02    -1.754e-02
   17      17.000s     4.636e-02     2.612e-02    -2.023e-02
   18      18.000s     4.243e-02     2.401e-02    -1.842e-02
   19      19.000s     3.573e-02     2.243e-02    -1.330e-02
   20      20.000s     3.027e-02     2.124e-02    -9.036e-03
   21      21.000s     2.618e-02     2.033e-02    -5.855e-03
   22      22.000s     2.087e-02     1.963e-02    -1.235e-03
   23      23.000s     1.544e-02     1.909e-02     3.656e-03
   24      24.000s     1.328e-02     1.867e-02     5.392e-03
   25      25.000s     1.339e-02     1.833e-02     4.936e-03
   26      26.000s     1.172e-02     1.805e-02     6.327e-03
   27      27.000s     8.405e-03     1.782e-02     9.411e-03
   28      28.000s     7.437e-03     1.762e-02     1.018e-02
   29      29.000s     9.315e-03     1.745e-02     8.130e-03
   30      30.000s     1.015e-02     1.729e-02     7.138e-03

============================================================

