SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000006-d2o-0.5mM-7-19-11-pH-6.11/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.361e+00     7.161e-03  
T     =       3.597s    17696159837007.750s  

RSS   =    9.958e-03
SD    =    1.822e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.038e+00     3.751e-02
    2       2.000s     8.126e-01     7.874e-01    -2.520e-02
    3       3.000s     6.334e-01     5.981e-01    -3.532e-02
    4       4.000s     4.845e-01     4.546e-01    -2.981e-02
    5       5.000s     3.560e-01     3.460e-01    -9.933e-03
    6       6.000s     2.473e-01     2.638e-01     1.652e-02
    7       7.000s     1.711e-01     2.015e-01     3.045e-02
    8       8.000s     1.268e-01     1.543e-01     2.754e-02
    9       9.000s     9.675e-02     1.186e-01     2.187e-02
   10      10.000s     7.006e-02     9.157e-02     2.150e-02
   11      11.000s     5.208e-02     7.108e-02     1.901e-02
   12      12.000s     4.663e-02     5.557e-02     8.942e-03
   13      13.000s     4.593e-02     4.382e-02    -2.114e-03
   14      14.000s     4.322e-02     3.492e-02    -8.297e-03
   15      15.000s     4.138e-02     2.818e-02    -1.320e-02
   16      16.000s     4.274e-02     2.308e-02    -1.966e-02
   17      17.000s     4.172e-02     1.922e-02    -2.251e-02
   18      18.000s     3.468e-02     1.629e-02    -1.839e-02
   19      19.000s     2.732e-02     1.408e-02    -1.324e-02
   20      20.000s     2.507e-02     1.240e-02    -1.268e-02
   21      21.000s     2.382e-02     1.113e-02    -1.270e-02
   22      22.000s     1.737e-02     1.016e-02    -7.206e-03
   23      23.000s     7.852e-03     9.435e-03     1.584e-03
   24      24.000s     1.685e-03     8.883e-03     7.198e-03
   25      25.000s     7.901e-05     8.465e-03     8.386e-03
   26      26.000s     3.801e-05     8.149e-03     8.111e-03
   27      27.000s     7.201e-04     7.909e-03     7.189e-03
   28      28.000s     2.632e-03     7.728e-03     5.096e-03
   29      29.000s     3.721e-03     7.590e-03     3.869e-03
   30      30.000s     2.009e-03     7.486e-03     5.477e-03

============================================================

