SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000006-d2o-0.5mM-7-19-11-pH-6.11/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 261 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.338e+00     1.322e-02  
T     =       3.791s       62.121s  

RSS   =    8.800e-03
SD    =    1.713e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.040e+00     4.040e-02
    2       2.000s     8.344e-01     8.020e-01    -3.241e-02
    3       3.000s     6.602e-01     6.188e-01    -4.139e-02
    4       4.000s     5.004e-01     4.780e-01    -2.242e-02
    5       5.000s     3.648e-01     3.699e-01     5.015e-03
    6       6.000s     2.631e-01     2.867e-01     2.360e-02
    7       7.000s     1.964e-01     2.228e-01     2.645e-02
    8       8.000s     1.522e-01     1.737e-01     2.149e-02
    9       9.000s     1.187e-01     1.360e-01     1.724e-02
   10      10.000s     9.422e-02     1.069e-01     1.267e-02
   11      11.000s     7.915e-02     8.454e-02     5.395e-03
   12      12.000s     6.792e-02     6.733e-02    -5.904e-04
   13      13.000s     5.612e-02     5.407e-02    -2.054e-03
   14      14.000s     4.735e-02     4.385e-02    -3.507e-03
   15      15.000s     4.576e-02     3.596e-02    -9.806e-03
   16      16.000s     4.735e-02     2.986e-02    -1.749e-02
   17      17.000s     4.512e-02     2.514e-02    -1.997e-02
   18      18.000s     3.856e-02     2.148e-02    -1.708e-02
   19      19.000s     3.184e-02     1.864e-02    -1.321e-02
   20      20.000s     2.613e-02     1.642e-02    -9.711e-03
   21      21.000s     1.971e-02     1.468e-02    -5.034e-03
   22      22.000s     1.339e-02     1.331e-02    -7.692e-05
   23      23.000s     9.834e-03     1.223e-02     2.392e-03
   24      24.000s     8.699e-03     1.136e-02     2.662e-03
   25      25.000s     6.993e-03     1.067e-02     3.672e-03
   26      26.000s     3.938e-03     1.010e-02     6.163e-03
   27      27.000s     1.602e-03     9.636e-03     8.034e-03
   28      28.000s     1.175e-03     9.249e-03     8.074e-03
   29      29.000s     1.949e-03     8.923e-03     6.974e-03
   30      30.000s     3.523e-03     8.643e-03     5.120e-03

============================================================

