SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000061-d2o-0.5mM-7-19-11/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 263 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.374e+00     1.659e-02  
T     =       3.404s       68.020s  

RSS   =    1.000e-02
SD    =    1.826e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.040e+00     4.048e-02
    2       2.000s     8.154e-01     7.795e-01    -3.592e-02
    3       3.000s     6.281e-01     5.849e-01    -4.312e-02
    4       4.000s     4.600e-01     4.398e-01    -2.015e-02
    5       5.000s     3.228e-01     3.316e-01     8.822e-03
    6       6.000s     2.245e-01     2.509e-01     2.642e-02
    7       7.000s     1.619e-01     1.907e-01     2.879e-02
    8       8.000s     1.216e-01     1.457e-01     2.414e-02
    9       9.000s     9.285e-02     1.122e-01     1.931e-02
   10      10.000s     7.331e-02     8.709e-02     1.378e-02
   11      11.000s     6.202e-02     6.835e-02     6.333e-03
   12      12.000s     5.514e-02     5.434e-02    -8.048e-04
   13      13.000s     5.024e-02     4.384e-02    -6.398e-03
   14      14.000s     4.824e-02     3.597e-02    -1.227e-02
   15      15.000s     4.848e-02     3.005e-02    -1.843e-02
   16      16.000s     4.689e-02     2.559e-02    -2.130e-02
   17      17.000s     4.127e-02     2.222e-02    -1.904e-02
   18      18.000s     3.418e-02     1.967e-02    -1.452e-02
   19      19.000s     2.841e-02     1.771e-02    -1.070e-02
   20      20.000s     2.336e-02     1.621e-02    -7.146e-03
   21      21.000s     1.795e-02     1.505e-02    -2.896e-03
   22      22.000s     1.348e-02     1.414e-02     6.669e-04
   23      23.000s     1.119e-02     1.342e-02     2.230e-03
   24      24.000s     9.890e-03     1.284e-02     2.955e-03
   25      25.000s     8.097e-03     1.237e-02     4.274e-03
   26      26.000s     6.347e-03     1.198e-02     5.631e-03
   27      27.000s     5.400e-03     1.164e-02     6.245e-03
   28      28.000s     4.488e-03     1.136e-02     6.868e-03
   29      29.000s     3.121e-03     1.110e-02     7.981e-03
   30      30.000s     2.473e-03     1.087e-02     8.402e-03

============================================================

