SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/CQ_00126_05M_D2O_2-22-11/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 405 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.313e+00     1.063e-02  
T     =       3.919s     3398.394s  

RSS   =    7.634e-03
SD    =    1.595e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.028e+00     2.782e-02
    2       2.000s     8.075e-01     7.987e-01    -8.780e-03
    3       3.000s     6.522e-01     6.213e-01    -3.093e-02
    4       4.000s     5.208e-01     4.837e-01    -3.710e-02
    5       5.000s     3.905e-01     3.772e-01    -1.327e-02
    6       6.000s     2.765e-01     2.946e-01     1.817e-02
    7       7.000s     2.007e-01     2.307e-01     2.999e-02
    8       8.000s     1.544e-01     1.811e-01     2.672e-02
    9       9.000s     1.187e-01     1.427e-01     2.400e-02
   10      10.000s     9.339e-02     1.130e-01     1.957e-02
   11      11.000s     8.322e-02     8.990e-02     6.684e-03
   12      12.000s     7.761e-02     7.204e-02    -5.568e-03
   13      13.000s     6.510e-02     5.820e-02    -6.903e-03
   14      14.000s     5.213e-02     4.747e-02    -4.659e-03
   15      15.000s     4.895e-02     3.916e-02    -9.784e-03
   16      16.000s     5.003e-02     3.272e-02    -1.731e-02
   17      17.000s     4.482e-02     2.773e-02    -1.708e-02
   18      18.000s     3.601e-02     2.387e-02    -1.214e-02
   19      19.000s     3.145e-02     2.087e-02    -1.058e-02
   20      20.000s     2.804e-02     1.855e-02    -9.488e-03
   21      21.000s     1.923e-02     1.675e-02    -2.483e-03
   22      22.000s     9.974e-03     1.535e-02     5.380e-03
   23      23.000s     9.082e-03     1.427e-02     5.189e-03
   24      24.000s     1.327e-02     1.343e-02     1.600e-04
   25      25.000s     1.291e-02     1.278e-02    -1.320e-04
   26      26.000s     8.419e-03     1.228e-02     3.858e-03
   27      27.000s     7.385e-03     1.189e-02     4.501e-03
   28      28.000s     9.560e-03     1.158e-02     2.020e-03
   29      29.000s     7.927e-03     1.134e-02     3.417e-03
   30      30.000s     2.425e-03     1.116e-02     8.735e-03

============================================================

