SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/CQ_00126_05M_D2O_2-22-11/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 149 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.369e+00     2.234e-02  
T     =       3.890s      164.838s  

RSS   =    2.973e-02
SD    =    3.148e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.081e+00     8.066e-02
    2       2.000s     9.118e-01     8.406e-01    -7.121e-02
    3       3.000s     7.466e-01     6.549e-01    -9.166e-02
    4       4.000s     5.358e-01     5.113e-01    -2.448e-02
    5       5.000s     3.647e-01     4.002e-01     3.555e-02
    6       6.000s     2.680e-01     3.143e-01     4.626e-02
    7       7.000s     2.116e-01     2.478e-01     3.617e-02
    8       8.000s     1.632e-01     1.964e-01     3.313e-02
    9       9.000s     1.285e-01     1.565e-01     2.805e-02
   10      10.000s     1.145e-01     1.257e-01     1.120e-02
   11      11.000s     1.052e-01     1.019e-01    -3.354e-03
   12      12.000s     8.817e-02     8.339e-02    -4.785e-03
   13      13.000s     7.373e-02     6.907e-02    -4.659e-03
   14      14.000s     7.119e-02     5.797e-02    -1.322e-02
   15      15.000s     7.041e-02     4.935e-02    -2.106e-02
   16      16.000s     6.138e-02     4.267e-02    -1.871e-02
   17      17.000s     5.167e-02     3.747e-02    -1.420e-02
   18      18.000s     5.023e-02     3.342e-02    -1.681e-02
   19      19.000s     5.014e-02     3.027e-02    -1.987e-02
   20      20.000s     4.151e-02     2.780e-02    -1.372e-02
   21      21.000s     2.872e-02     2.586e-02    -2.856e-03
   22      22.000s     2.164e-02     2.434e-02     2.696e-03
   23      23.000s     2.006e-02     2.314e-02     3.077e-03
   24      24.000s     1.809e-02     2.218e-02     4.088e-03
   25      25.000s     1.585e-02     2.141e-02     5.559e-03
   26      26.000s     1.619e-02     2.079e-02     4.608e-03
   27      27.000s     1.661e-02     2.029e-02     3.685e-03
   28      28.000s     1.369e-02     1.988e-02     6.188e-03
   29      29.000s     9.977e-03     1.953e-02     9.553e-03
   30      30.000s     9.025e-03     1.924e-02     1.021e-02

============================================================

