SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000285-d2o-0.5mM-6-7-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.343e+00     8.901e-03  
T     =       3.944s    115717477313735.797s  

RSS   =    9.686e-03
SD    =    1.797e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.051e+00     5.100e-02
    2       2.000s     8.523e-01     8.176e-01    -3.466e-02
    3       3.000s     6.857e-01     6.365e-01    -4.922e-02
    4       4.000s     5.252e-01     4.959e-01    -2.925e-02
    5       5.000s     3.889e-01     3.869e-01    -2.039e-03
    6       6.000s     2.844e-01     3.022e-01     1.780e-02
    7       7.000s     2.105e-01     2.365e-01     2.603e-02
    8       8.000s     1.606e-01     1.855e-01     2.494e-02
    9       9.000s     1.264e-01     1.460e-01     1.953e-02
   10      10.000s     1.013e-01     1.153e-01     1.402e-02
   11      11.000s     8.154e-02     9.145e-02     9.911e-03
   12      12.000s     6.626e-02     7.296e-02     6.704e-03
   13      13.000s     5.485e-02     5.862e-02     3.768e-03
   14      14.000s     4.636e-02     4.748e-02     1.119e-03
   15      15.000s     3.990e-02     3.884e-02    -1.059e-03
   16      16.000s     3.496e-02     3.214e-02    -2.822e-03
   17      17.000s     3.107e-02     2.693e-02    -4.142e-03
   18      18.000s     2.748e-02     2.289e-02    -4.588e-03
   19      19.000s     2.360e-02     1.976e-02    -3.841e-03
   20      20.000s     1.994e-02     1.733e-02    -2.610e-03
   21      21.000s     1.788e-02     1.544e-02    -2.441e-03
   22      22.000s     1.797e-02     1.398e-02    -3.992e-03
   23      23.000s     1.871e-02     1.284e-02    -5.867e-03
   24      24.000s     1.809e-02     1.196e-02    -6.133e-03
   25      25.000s     1.611e-02     1.127e-02    -4.837e-03
   26      26.000s     1.456e-02     1.074e-02    -3.821e-03
   27      27.000s     1.430e-02     1.033e-02    -3.967e-03
   28      28.000s     1.413e-02     1.001e-02    -4.117e-03
   29      29.000s     1.302e-02     9.761e-03    -3.263e-03
   30      30.000s     1.172e-02     9.568e-03    -2.153e-03

============================================================

