SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/cq_00019-d2o-0.5mm-4-4-11/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 141 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.025e+00     1.858e-02  
T     =       8.048s      147.062s  

RSS   =    4.515e-02
SD    =    3.879e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     9.238e-01    -7.618e-02
    2       2.000s     8.306e-01     8.179e-01    -1.271e-02
    3       3.000s     6.705e-01     7.244e-01     5.385e-02
    4       4.000s     5.538e-01     6.417e-01     8.795e-02
    5       5.000s     4.918e-01     5.687e-01     7.689e-02
    6       6.000s     4.732e-01     5.042e-01     3.107e-02
    7       7.000s     4.722e-01     4.473e-01    -2.489e-02
    8       8.000s     4.625e-01     3.970e-01    -6.549e-02
    9       9.000s     4.284e-01     3.525e-01    -7.584e-02
   10      10.000s     3.699e-01     3.133e-01    -5.669e-02
   11      11.000s     3.002e-01     2.786e-01    -2.167e-02
   12      12.000s     2.370e-01     2.479e-01     1.086e-02
   13      13.000s     1.938e-01     2.208e-01     2.702e-02
   14      14.000s     1.739e-01     1.969e-01     2.302e-02
   15      15.000s     1.704e-01     1.757e-01     5.324e-03
   16      16.000s     1.712e-01     1.571e-01    -1.412e-02
   17      17.000s     1.650e-01     1.405e-01    -2.450e-02
   18      18.000s     1.471e-01     1.259e-01    -2.117e-02
   19      19.000s     1.199e-01     1.130e-01    -6.822e-03
   20      20.000s     9.054e-02     1.016e-01     1.109e-02
   21      21.000s     6.672e-02     9.153e-02     2.481e-02
   22      22.000s     5.249e-02     8.261e-02     3.012e-02
   23      23.000s     4.717e-02     7.472e-02     2.755e-02
   24      24.000s     4.687e-02     6.774e-02     2.086e-02
   25      25.000s     4.753e-02     6.156e-02     1.403e-02
   26      26.000s     4.739e-02     5.609e-02     8.697e-03
   27      27.000s     4.773e-02     5.125e-02     3.522e-03
   28      28.000s     5.138e-02     4.696e-02    -4.417e-03
   29      29.000s     6.040e-02     4.317e-02    -1.723e-02
   30      30.000s     7.421e-02     3.980e-02    -3.441e-02

============================================================

