SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/cq_00019-d2o-0.5mm-4-4-11/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 300 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.258e+00     3.075e-01  
T     =       1.897s       26.012s  

RSS   =    3.748e-02
SD    =    3.534e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.039e+00     3.852e-02
    2       2.000s     7.935e-01     7.231e-01    -7.041e-02
    3       3.000s     5.761e-01     5.327e-01    -4.340e-02
    4       4.000s     3.948e-01     4.164e-01     2.159e-02
    5       5.000s     2.779e-01     3.439e-01     6.600e-02
    6       6.000s     2.282e-01     2.974e-01     6.912e-02
    7       7.000s     2.269e-01     2.663e-01     3.944e-02
    8       8.000s     2.447e-01     2.446e-01    -6.782e-05
    9       9.000s     2.561e-01     2.285e-01    -2.761e-02
   10      10.000s     2.492e-01     2.158e-01    -3.343e-02
   11      11.000s     2.275e-01     2.053e-01    -2.226e-02
   12      12.000s     2.040e-01     1.961e-01    -7.841e-03
   13      13.000s     1.914e-01     1.879e-01    -3.534e-03
   14      14.000s     1.947e-01     1.803e-01    -1.436e-02
   15      15.000s     2.078e-01     1.732e-01    -3.455e-02
   16      16.000s     2.179e-01     1.665e-01    -5.138e-02
   17      17.000s     2.130e-01     1.601e-01    -5.284e-02
   18      18.000s     1.886e-01     1.540e-01    -3.459e-02
   19      19.000s     1.507e-01     1.482e-01    -2.572e-03
   20      20.000s     1.125e-01     1.426e-01     3.008e-02
   21      21.000s     8.728e-02     1.372e-01     4.990e-02
   22      22.000s     8.204e-02     1.320e-01     4.996e-02
   23      23.000s     9.391e-02     1.270e-01     3.311e-02
   24      24.000s     1.124e-01     1.222e-01     9.871e-03
   25      25.000s     1.251e-01     1.176e-01    -7.517e-03
   26      26.000s     1.249e-01     1.132e-01    -1.174e-02
   27      27.000s     1.129e-01     1.089e-01    -3.962e-03
   28      28.000s     9.739e-02     1.048e-01     7.408e-03
   29      29.000s     8.877e-02     1.008e-01     1.208e-02
   30      30.000s     9.289e-02     9.704e-02     4.155e-03

============================================================

