SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/bmse000010-d2o-0.5mM-6-13-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.390e+00     7.956e-03  
T     =       3.544s    64570221059830.547s  

RSS   =    1.474e-02
SD    =    2.216e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.056e+00     5.646e-02
    2       2.000s     8.474e-01     7.987e-01    -4.866e-02
    3       3.000s     6.594e-01     6.043e-01    -5.513e-02
    4       4.000s     4.820e-01     4.577e-01    -2.428e-02
    5       5.000s     3.408e-01     3.471e-01     6.354e-03
    6       6.000s     2.398e-01     2.638e-01     2.396e-02
    7       7.000s     1.708e-01     2.009e-01     3.012e-02
    8       8.000s     1.237e-01     1.534e-01     2.972e-02
    9       9.000s     9.160e-02     1.177e-01     2.608e-02
   10      10.000s     6.978e-02     9.071e-02     2.093e-02
   11      11.000s     5.529e-02     7.036e-02     1.507e-02
   12      12.000s     4.659e-02     5.502e-02     8.428e-03
   13      13.000s     4.272e-02     4.345e-02     7.343e-04
   14      14.000s     4.209e-02     3.473e-02    -7.362e-03
   15      15.000s     4.243e-02     2.814e-02    -1.428e-02
   16      16.000s     4.176e-02     2.318e-02    -1.857e-02
   17      17.000s     3.911e-02     1.944e-02    -1.967e-02
   18      18.000s     3.449e-02     1.662e-02    -1.787e-02
   19      19.000s     2.861e-02     1.449e-02    -1.413e-02
   20      20.000s     2.270e-02     1.288e-02    -9.820e-03
   21      21.000s     1.772e-02     1.167e-02    -6.051e-03
   22      22.000s     1.385e-02     1.076e-02    -3.097e-03
   23      23.000s     1.081e-02     1.007e-02    -7.415e-04
   24      24.000s     8.531e-03     9.549e-03     1.019e-03
   25      25.000s     7.137e-03     9.157e-03     2.020e-03
   26      26.000s     6.356e-03     8.862e-03     2.506e-03
   27      27.000s     5.596e-03     8.639e-03     3.044e-03
   28      28.000s     4.641e-03     8.471e-03     3.830e-03
   29      29.000s     3.822e-03     8.344e-03     4.522e-03
   30      30.000s     3.392e-03     8.249e-03     4.856e-03

============================================================

