SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/bmse000010-d2o-0.5mM-6-13-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 315 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.341e+00     8.559e-02  
T     =       2.867s       16.251s  

RSS   =    4.995e-03
SD    =    1.290e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.026e+00     2.644e-02
    2       2.000s     7.808e-01     7.431e-01    -3.776e-02
    3       3.000s     5.642e-01     5.420e-01    -2.222e-02
    4       4.000s     3.941e-01     3.991e-01     5.059e-03
    5       5.000s     2.802e-01     2.973e-01     1.714e-02
    6       6.000s     2.081e-01     2.245e-01     1.639e-02
    7       7.000s     1.598e-01     1.723e-01     1.250e-02
    8       8.000s     1.252e-01     1.346e-01     9.432e-03
    9       9.000s     1.008e-01     1.073e-01     6.454e-03
   10      10.000s     8.390e-02     8.723e-02     3.335e-03
   11      11.000s     7.166e-02     7.241e-02     7.436e-04
   12      12.000s     6.325e-02     6.130e-02    -1.956e-03
   13      13.000s     5.899e-02     5.285e-02    -6.136e-03
   14      14.000s     5.775e-02     4.632e-02    -1.144e-02
   15      15.000s     5.683e-02     4.117e-02    -1.566e-02
   16      16.000s     5.409e-02     3.703e-02    -1.706e-02
   17      17.000s     4.910e-02     3.363e-02    -1.547e-02
   18      18.000s     4.240e-02     3.079e-02    -1.161e-02
   19      19.000s     3.478e-02     2.836e-02    -6.421e-03
   20      20.000s     2.752e-02     2.625e-02    -1.267e-03
   21      21.000s     2.188e-02     2.439e-02     2.516e-03
   22      22.000s     1.808e-02     2.273e-02     4.649e-03
   23      23.000s     1.541e-02     2.123e-02     5.816e-03
   24      24.000s     1.336e-02     1.986e-02     6.492e-03
   25      25.000s     1.201e-02     1.860e-02     6.590e-03
   26      26.000s     1.115e-02     1.744e-02     6.282e-03
   27      27.000s     1.014e-02     1.636e-02     6.225e-03
   28      28.000s     8.696e-03     1.536e-02     6.662e-03
   29      29.000s     7.410e-03     1.442e-02     7.013e-03
   30      30.000s     6.792e-03     1.355e-02     6.758e-03

============================================================

