SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000340-d2o-0.5mM-6-15-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 333 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.371e+00     3.540e-02  
T     =       3.279s       39.793s  

RSS   =    1.206e-02
SD    =    2.005e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.045e+00     4.543e-02
    2       2.000s     8.277e-01     7.789e-01    -4.884e-02
    3       3.000s     6.233e-01     5.822e-01    -4.110e-02
    4       4.000s     4.481e-01     4.370e-01    -1.110e-02
    5       5.000s     3.189e-01     3.297e-01     1.082e-02
    6       6.000s     2.280e-01     2.505e-01     2.255e-02
    7       7.000s     1.654e-01     1.919e-01     2.650e-02
    8       8.000s     1.237e-01     1.485e-01     2.484e-02
    9       9.000s     9.551e-02     1.164e-01     2.088e-02
   10      10.000s     7.670e-02     9.252e-02     1.582e-02
   11      11.000s     6.659e-02     7.475e-02     8.162e-03
   12      12.000s     6.264e-02     6.150e-02    -1.140e-03
   13      13.000s     5.932e-02     5.157e-02    -7.748e-03
   14      14.000s     5.426e-02     4.409e-02    -1.017e-02
   15      15.000s     5.050e-02     3.843e-02    -1.207e-02
   16      16.000s     5.006e-02     3.411e-02    -1.595e-02
   17      17.000s     5.003e-02     3.078e-02    -1.925e-02
   18      18.000s     4.748e-02     2.819e-02    -1.929e-02
   19      19.000s     4.381e-02     2.614e-02    -1.767e-02
   20      20.000s     4.087e-02     2.450e-02    -1.637e-02
   21      21.000s     3.673e-02     2.316e-02    -1.358e-02
   22      22.000s     2.942e-02     2.204e-02    -7.383e-03
   23      23.000s     2.184e-02     2.110e-02    -7.494e-04
   24      24.000s     1.821e-02     2.028e-02     2.071e-03
   25      25.000s     1.726e-02     1.956e-02     2.301e-03
   26      26.000s     1.376e-02     1.891e-02     5.153e-03
   27      27.000s     6.415e-03     1.833e-02     1.191e-02
   28      28.000s     1.563e-04     1.779e-02     1.763e-02
   29      29.000s    -3.571e-04     1.728e-02     1.764e-02
   30      30.000s     3.483e-03     1.680e-02     1.332e-02

============================================================

