SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/cq_00080-d2o-0.5mm-4-4-11/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.243e+00     4.932e-02  
T     =       4.665s    183335464989354.344s  

RSS   =    2.176e-02
SD    =    2.693e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.053e+00     5.280e-02
    2       2.000s     8.812e-01     8.592e-01    -2.205e-02
    3       3.000s     7.453e-01     7.029e-01    -4.235e-02
    4       4.000s     6.102e-01     5.768e-01    -3.334e-02
    5       5.000s     4.892e-01     4.750e-01    -1.412e-02
    6       6.000s     3.894e-01     3.929e-01     3.447e-03
    7       7.000s     3.127e-01     3.266e-01     1.393e-02
    8       8.000s     2.566e-01     2.731e-01     1.646e-02
    9       9.000s     2.171e-01     2.299e-01     1.279e-02
   10      10.000s     1.892e-01     1.951e-01     5.864e-03
   11      11.000s     1.680e-01     1.670e-01    -1.056e-03
   12      12.000s     1.493e-01     1.443e-01    -5.003e-03
   13      13.000s     1.299e-01     1.259e-01    -3.920e-03
   14      14.000s     1.084e-01     1.112e-01     2.706e-03
   15      15.000s     8.572e-02     9.922e-02     1.351e-02
   16      16.000s     6.410e-02     8.959e-02     2.549e-02
   17      17.000s     4.679e-02     8.182e-02     3.504e-02
   18      18.000s     3.629e-02     7.555e-02     3.925e-02
   19      19.000s     3.334e-02     7.049e-02     3.715e-02
   20      20.000s     3.646e-02     6.640e-02     2.994e-02
   21      21.000s     4.277e-02     6.311e-02     2.034e-02
   22      22.000s     4.932e-02     6.044e-02     1.113e-02
   23      23.000s     5.453e-02     5.830e-02     3.764e-03
   24      24.000s     5.880e-02     5.656e-02    -2.237e-03
   25      25.000s     6.392e-02     5.517e-02    -8.753e-03
   26      26.000s     7.165e-02     5.404e-02    -1.762e-02
   27      27.000s     8.222e-02     5.313e-02    -2.909e-02
   28      28.000s     9.358e-02     5.239e-02    -4.119e-02
   29      29.000s     1.020e-01     5.180e-02    -5.024e-02
   30      30.000s     1.039e-01     5.132e-02    -5.263e-02

============================================================

