SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/cq_00024-0.5mm-d2o-11-8-10/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 196 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.112e+00     2.417e-01  
T     =       2.902s       12.586s  

RSS   =    1.472e-03
SD    =    7.005e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.011e+00     1.113e-02
    2       2.000s     7.798e-01     7.644e-01    -1.534e-02
    3       3.000s     5.924e-01     5.860e-01    -6.435e-03
    4       4.000s     4.581e-01     4.561e-01    -1.952e-03
    5       5.000s     3.598e-01     3.610e-01     1.216e-03
    6       6.000s     2.837e-01     2.907e-01     7.000e-03
    7       7.000s     2.288e-01     2.383e-01     9.527e-03
    8       8.000s     1.916e-01     1.986e-01     7.042e-03
    9       9.000s     1.634e-01     1.683e-01     4.921e-03
   10      10.000s     1.395e-01     1.447e-01     5.154e-03
   11      11.000s     1.220e-01     1.260e-01     4.004e-03
   12      12.000s     1.111e-01     1.110e-01    -1.225e-04
   13      13.000s     1.033e-01     9.866e-02    -4.657e-03
   14      14.000s     9.678e-02     8.841e-02    -8.366e-03
   15      15.000s     9.184e-02     7.974e-02    -1.210e-02
   16      16.000s     8.660e-02     7.229e-02    -1.431e-02
   17      17.000s     7.776e-02     6.580e-02    -1.196e-02
   18      18.000s     6.620e-02     6.009e-02    -6.106e-03
   19      19.000s     5.638e-02     5.502e-02    -1.366e-03
   20      20.000s     5.003e-02     5.047e-02     4.425e-04
   21      21.000s     4.476e-02     4.637e-02     1.614e-03
   22      22.000s     3.920e-02     4.266e-02     3.456e-03
   23      23.000s     3.480e-02     3.928e-02     4.476e-03
   24      24.000s     3.204e-02     3.619e-02     4.155e-03
   25      25.000s     2.915e-02     3.337e-02     4.213e-03
   26      26.000s     2.558e-02     3.077e-02     5.198e-03
   27      27.000s     2.291e-02     2.839e-02     5.488e-03
   28      28.000s     2.160e-02     2.620e-02     4.598e-03
   29      29.000s     2.007e-02     2.419e-02     4.116e-03
   30      30.000s     1.789e-02     2.233e-02     4.439e-03

============================================================

