SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/cq_00024-0.5mm-d2o-11-8-10/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 472 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    6.661e-01     5.546e-01  
T     =       3.446s       11.274s  

RSS   =    5.383e-04
SD    =    4.236e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.006e+00     5.800e-03
    2       2.000s     8.413e-01     8.372e-01    -4.130e-03
    3       3.000s     7.108e-01     7.039e-01    -6.957e-03
    4       4.000s     6.030e-01     5.976e-01    -5.425e-03
    5       5.000s     5.108e-01     5.120e-01     1.193e-03
    6       6.000s     4.368e-01     4.425e-01     5.643e-03
    7       7.000s     3.804e-01     3.854e-01     4.969e-03
    8       8.000s     3.342e-01     3.381e-01     3.867e-03
    9       9.000s     2.939e-01     2.985e-01     4.613e-03
   10      10.000s     2.608e-01     2.650e-01     4.225e-03
   11      11.000s     2.346e-01     2.364e-01     1.750e-03
   12      12.000s     2.119e-01     2.118e-01    -1.638e-04
   13      13.000s     1.917e-01     1.904e-01    -1.332e-03
   14      14.000s     1.761e-01     1.716e-01    -4.433e-03
   15      15.000s     1.639e-01     1.552e-01    -8.738e-03
   16      16.000s     1.503e-01     1.406e-01    -9.781e-03
   17      17.000s     1.339e-01     1.276e-01    -6.328e-03
   18      18.000s     1.182e-01     1.159e-01    -2.272e-03
   19      19.000s     1.060e-01     1.055e-01    -5.223e-04
   20      20.000s     9.583e-02     9.609e-02     2.537e-04
   21      21.000s     8.594e-02     8.760e-02     1.654e-03
   22      22.000s     7.715e-02     7.991e-02     2.763e-03
   23      23.000s     7.014e-02     7.294e-02     2.794e-03
   24      24.000s     6.382e-02     6.661e-02     2.790e-03
   25      25.000s     5.763e-02     6.085e-02     3.213e-03
   26      26.000s     5.267e-02     5.560e-02     2.933e-03
   27      27.000s     4.904e-02     5.083e-02     1.783e-03
   28      28.000s     4.520e-02     4.647e-02     1.268e-03
   29      29.000s     4.074e-02     4.249e-02     1.753e-03
   30      30.000s     3.714e-02     3.886e-02     1.719e-03

============================================================

