SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/bmse000091-d2o-0.5mM-7-24-11-pH-7.69/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.275e+00     3.331e-03  
T     =       4.693s    6473384627885.946s  

RSS   =    4.597e-03
SD    =    1.238e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.034e+00     3.354e-02
    2       2.000s     8.563e-01     8.358e-01    -2.050e-02
    3       3.000s     7.050e-01     6.761e-01    -2.890e-02
    4       4.000s     5.666e-01     5.470e-01    -1.964e-02
    5       5.000s     4.488e-01     4.427e-01    -6.127e-03
    6       6.000s     3.531e-01     3.583e-01     5.288e-03
    7       7.000s     2.778e-01     2.902e-01     1.238e-02
    8       8.000s     2.190e-01     2.352e-01     1.621e-02
    9       9.000s     1.726e-01     1.907e-01     1.807e-02
   10      10.000s     1.374e-01     1.547e-01     1.729e-02
   11      11.000s     1.127e-01     1.257e-01     1.299e-02
   12      12.000s     9.576e-02     1.022e-01     6.434e-03
   13      13.000s     8.329e-02     8.322e-02    -6.327e-05
   14      14.000s     7.323e-02     6.789e-02    -5.334e-03
   15      15.000s     6.454e-02     5.550e-02    -9.038e-03
   16      16.000s     5.598e-02     4.549e-02    -1.049e-02
   17      17.000s     4.694e-02     3.740e-02    -9.538e-03
   18      18.000s     3.850e-02     3.086e-02    -7.642e-03
   19      19.000s     3.198e-02     2.558e-02    -6.400e-03
   20      20.000s     2.695e-02     2.131e-02    -5.640e-03
   21      21.000s     2.217e-02     1.786e-02    -4.310e-03
   22      22.000s     1.755e-02     1.507e-02    -2.483e-03
   23      23.000s     1.384e-02     1.282e-02    -1.022e-03
   24      24.000s     1.096e-02     1.100e-02     4.015e-05
   25      25.000s     8.340e-03     9.526e-03     1.187e-03
   26      26.000s     6.276e-03     8.337e-03     2.062e-03
   27      27.000s     5.348e-03     7.377e-03     2.029e-03
   28      28.000s     4.831e-03     6.600e-03     1.769e-03
   29      29.000s     3.236e-03     5.973e-03     2.737e-03
   30      30.000s     3.662e-04     5.466e-03     5.099e-03

============================================================

