SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/bmse000091-d2o-0.5mM-7-24-11-pH-7.69/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 292 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.072e+00     2.282e-01  
T     =       3.605s       11.074s  

RSS   =    3.694e-03
SD    =    1.110e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.020e+00     2.047e-02
    2       2.000s     8.254e-01     8.058e-01    -1.957e-02
    3       3.000s     6.600e-01     6.403e-01    -1.968e-02
    4       4.000s     5.210e-01     5.123e-01    -8.665e-03
    5       5.000s     4.103e-01     4.130e-01     2.702e-03
    6       6.000s     3.247e-01     3.356e-01     1.092e-02
    7       7.000s     2.602e-01     2.750e-01     1.481e-02
    8       8.000s     2.124e-01     2.273e-01     1.492e-02
    9       9.000s     1.769e-01     1.895e-01     1.261e-02
   10      10.000s     1.506e-01     1.594e-01     8.814e-03
   11      11.000s     1.312e-01     1.352e-01     3.967e-03
   12      12.000s     1.170e-01     1.156e-01    -1.409e-03
   13      13.000s     1.064e-01     9.965e-02    -6.702e-03
   14      14.000s     9.797e-02     8.651e-02    -1.146e-02
   15      15.000s     9.072e-02     7.560e-02    -1.512e-02
   16      16.000s     8.322e-02     6.647e-02    -1.675e-02
   17      17.000s     7.438e-02     5.876e-02    -1.562e-02
   18      18.000s     6.427e-02     5.219e-02    -1.208e-02
   19      19.000s     5.402e-02     4.655e-02    -7.472e-03
   20      20.000s     4.482e-02     4.167e-02    -3.154e-03
   21      21.000s     3.704e-02     3.742e-02     3.777e-04
   22      22.000s     3.034e-02     3.369e-02     3.351e-03
   23      23.000s     2.447e-02     3.041e-02     5.941e-03
   24      24.000s     1.964e-02     2.750e-02     7.858e-03
   25      25.000s     1.619e-02     2.491e-02     8.727e-03
   26      26.000s     1.401e-02     2.260e-02     8.590e-03
   27      27.000s     1.263e-02     2.052e-02     7.899e-03
   28      28.000s     1.150e-02     1.866e-02     7.161e-03
   29      29.000s     1.022e-02     1.698e-02     6.759e-03
   30      30.000s     8.585e-03     1.546e-02     6.872e-03

============================================================

