SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000202-d2o-0.5mM-6-15-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 447 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.418e+00     7.780e-02  
T     =       2.392s       13.671s  

RSS   =    1.778e-03
SD    =    7.699e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.006e+00     5.612e-03
    2       2.000s     6.939e-01     6.817e-01    -1.218e-02
    3       3.000s     4.610e-01     4.670e-01     5.984e-03
    4       4.000s     3.255e-01     3.244e-01    -1.099e-03
    5       5.000s     2.360e-01     2.293e-01    -6.639e-03
    6       6.000s     1.637e-01     1.656e-01     1.893e-03
    7       7.000s     1.155e-01     1.226e-01     7.099e-03
    8       8.000s     9.002e-02     9.338e-02     3.361e-03
    9       9.000s     7.010e-02     7.323e-02     3.125e-03
   10      10.000s     5.018e-02     5.913e-02     8.946e-03
   11      11.000s     3.885e-02     4.908e-02     1.023e-02
   12      12.000s     3.736e-02     4.174e-02     4.387e-03
   13      13.000s     3.746e-02     3.625e-02    -1.211e-03
   14      14.000s     3.754e-02     3.202e-02    -5.528e-03
   15      15.000s     4.189e-02     2.865e-02    -1.324e-02
   16      16.000s     4.635e-02     2.590e-02    -2.045e-02
   17      17.000s     4.153e-02     2.360e-02    -1.793e-02
   18      18.000s     2.915e-02     2.162e-02    -7.532e-03
   19      19.000s     2.036e-02     1.989e-02    -4.718e-04
   20      20.000s     1.842e-02     1.835e-02    -7.070e-05
   21      21.000s     1.638e-02     1.696e-02     5.810e-04
   22      22.000s     1.147e-02     1.571e-02     4.231e-03
   23      23.000s     8.798e-03     1.456e-02     5.761e-03
   24      24.000s     9.902e-03     1.351e-02     3.604e-03
   25      25.000s     9.582e-03     1.254e-02     2.955e-03
   26      26.000s     5.970e-03     1.164e-02     5.671e-03
   27      27.000s     3.661e-03     1.081e-02     7.152e-03
   28      28.000s     4.648e-03     1.005e-02     5.397e-03
   29      29.000s     5.086e-03     9.334e-03     4.247e-03
   30      30.000s     3.115e-03     8.673e-03     5.558e-03

============================================================

