SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000098-d2o-0.5mM-6-18-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 262 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.272e+00     3.131e-02  
T     =       4.152s       50.410s  

RSS   =    1.012e-02
SD    =    1.836e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.030e+00     3.011e-02
    2       2.000s     8.274e-01     8.156e-01    -1.180e-02
    3       3.000s     6.725e-01     6.469e-01    -2.562e-02
    4       4.000s     5.505e-01     5.141e-01    -3.638e-02
    5       5.000s     4.325e-01     4.097e-01    -2.277e-02
    6       6.000s     3.164e-01     3.275e-01     1.116e-02
    7       7.000s     2.298e-01     2.628e-01     3.302e-02
    8       8.000s     1.814e-01     2.119e-01     3.048e-02
    9       9.000s     1.498e-01     1.717e-01     2.192e-02
   10      10.000s     1.204e-01     1.400e-01     1.969e-02
   11      11.000s     1.006e-01     1.151e-01     1.445e-02
   12      12.000s     9.417e-02     9.533e-02     1.160e-03
   13      13.000s     8.686e-02     7.972e-02    -7.140e-03
   14      14.000s     7.046e-02     6.736e-02    -3.101e-03
   15      15.000s     5.848e-02     5.755e-02    -9.299e-04
   16      16.000s     6.326e-02     4.975e-02    -1.351e-02
   17      17.000s     7.318e-02     4.354e-02    -2.964e-02
   18      18.000s     6.911e-02     3.856e-02    -3.055e-02
   19      19.000s     5.211e-02     3.457e-02    -1.755e-02
   20      20.000s     3.759e-02     3.134e-02    -6.246e-03
   21      21.000s     2.997e-02     2.873e-02    -1.240e-03
   22      22.000s     2.175e-02     2.659e-02     4.843e-03
   23      23.000s     1.375e-02     2.484e-02     1.108e-02
   24      24.000s     1.635e-02     2.338e-02     7.029e-03
   25      25.000s     2.834e-02     2.216e-02    -6.189e-03
   26      26.000s     3.272e-02     2.112e-02    -1.160e-02
   27      27.000s     2.054e-02     2.023e-02    -3.051e-04
   28      28.000s     4.935e-03     1.947e-02     1.453e-02
   29      29.000s     1.987e-03     1.879e-02     1.681e-02
   30      30.000s     9.002e-03     1.819e-02     9.193e-03

============================================================

