SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000098-d2o-0.5mM-6-18-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 599 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.389e+00     4.415e-02  
T     =       2.958s        7.130s  

RSS   =    7.310e-03
SD    =    1.561e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.029e+00     2.861e-02
    2       2.000s     7.924e-01     7.396e-01    -5.289e-02
    3       3.000s     5.475e-01     5.326e-01    -1.489e-02
    4       4.000s     3.609e-01     3.844e-01     2.345e-02
    5       5.000s     2.511e-01     2.781e-01     2.691e-02
    6       6.000s     1.880e-01     2.017e-01     1.376e-02
    7       7.000s     1.455e-01     1.468e-01     1.289e-03
    8       8.000s     1.129e-01     1.073e-01    -5.569e-03
    9       9.000s     8.277e-02     7.876e-02    -4.008e-03
   10      10.000s     5.604e-02     5.812e-02     2.073e-03
   11      11.000s     4.326e-02     4.314e-02    -1.143e-04
   12      12.000s     4.548e-02     3.224e-02    -1.324e-02
   13      13.000s     4.478e-02     2.427e-02    -2.051e-02
   14      14.000s     2.839e-02     1.842e-02    -9.972e-03
   15      15.000s     9.750e-03     1.410e-02     4.354e-03
   16      16.000s     8.466e-03     1.090e-02     2.433e-03
   17      17.000s     1.956e-02     8.503e-03    -1.106e-02
   18      18.000s     2.156e-02     6.698e-03    -1.486e-02
   19      19.000s     8.541e-03     5.329e-03    -3.212e-03
   20      20.000s    -5.312e-03     4.280e-03     9.592e-03
   21      21.000s    -1.014e-02     3.469e-03     1.361e-02
   22      22.000s    -1.025e-02     2.836e-03     1.308e-02
   23      23.000s    -9.379e-03     2.337e-03     1.172e-02
   24      24.000s    -4.335e-03     1.940e-03     6.275e-03
   25      25.000s     3.228e-03     1.621e-03    -1.606e-03
   26      26.000s     4.285e-03     1.363e-03    -2.922e-03
   27      27.000s    -2.874e-03     1.152e-03     4.026e-03
   28      28.000s    -8.499e-03     9.774e-04     9.476e-03
   29      29.000s    -7.507e-03     8.327e-04     8.340e-03
   30      30.000s    -7.672e-03     7.118e-04     8.384e-03

============================================================

