SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000029-d2o-0.5mM-6-7-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.204e+00     2.473e-01  
T     =       2.458s    10624957163653492.000s  

RSS   =    3.379e-01
SD    =    1.061e-01

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.049e+00     4.855e-02
    2       2.000s     8.233e-01     7.807e-01    -4.252e-02
    3       3.000s     6.564e-01     6.024e-01    -5.395e-02
    4       4.000s     5.220e-01     4.837e-01    -3.826e-02
    5       5.000s     4.032e-01     4.047e-01     1.462e-03
    6       6.000s     3.144e-01     3.521e-01     3.766e-02
    7       7.000s     2.781e-01     3.171e-01     3.896e-02
    8       8.000s     2.721e-01     2.937e-01     2.162e-02
    9       9.000s     2.569e-01     2.782e-01     2.127e-02
   10      10.000s     2.294e-01     2.679e-01     3.847e-02
   11      11.000s     2.073e-01     2.610e-01     5.368e-02
   12      12.000s     1.899e-01     2.564e-01     6.646e-02
   13      13.000s     1.729e-01     2.533e-01     8.043e-02
   14      14.000s     1.716e-01     2.513e-01     7.972e-02
   15      15.000s     1.913e-01     2.500e-01     5.867e-02
   16      16.000s     2.030e-01     2.491e-01     4.602e-02
   17      17.000s     1.858e-01     2.485e-01     6.263e-02
   18      18.000s     1.637e-01     2.481e-01     8.439e-02
   19      19.000s     1.645e-01     2.478e-01     8.332e-02
   20      20.000s     1.726e-01     2.476e-01     7.503e-02
   21      21.000s     1.619e-01     2.475e-01     8.564e-02
   22      22.000s     1.488e-01     2.474e-01     9.862e-02
   23      23.000s     1.697e-01     2.474e-01     7.771e-02
   24      24.000s     2.237e-01     2.473e-01     2.360e-02
   25      25.000s     2.798e-01     2.473e-01    -3.252e-02
   26      26.000s     3.259e-01     2.473e-01    -7.864e-02
   27      27.000s     3.777e-01     2.473e-01    -1.304e-01
   28      28.000s     4.457e-01     2.473e-01    -1.984e-01
   29      29.000s     5.210e-01     2.473e-01    -2.737e-01
   30      30.000s     5.828e-01     2.473e-01    -3.355e-01

============================================================

