SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/cq_00110-d2o-.5mM-6-6-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 7065 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.488e+02    -1.474e+02  
T     =       4.994s        5.007s  

RSS   =    1.161e-02
SD    =    1.967e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.036e+00     3.643e-02
    2       2.000s     8.364e-01     7.968e-01    -3.952e-02
    3       3.000s     6.385e-01     6.100e-01    -2.848e-02
    4       4.000s     4.618e-01     4.648e-01     2.987e-03
    5       5.000s     3.394e-01     3.522e-01     1.271e-02
    6       6.000s     2.609e-01     2.651e-01     4.180e-03
    7       7.000s     1.975e-01     1.980e-01     5.032e-04
    8       8.000s     1.388e-01     1.465e-01     7.693e-03
    9       9.000s     9.279e-02     1.072e-01     1.443e-02
   10      10.000s     6.366e-02     7.734e-02     1.368e-02
   11      11.000s     4.805e-02     5.477e-02     6.716e-03
   12      12.000s     4.313e-02     3.784e-02    -5.293e-03
   13      13.000s     4.206e-02     2.525e-02    -1.681e-02
   14      14.000s     2.955e-02     1.598e-02    -1.357e-02
   15      15.000s     7.076e-05     9.242e-03     9.171e-03
   16      16.000s    -2.650e-02     4.421e-03     3.093e-02
   17      17.000s    -2.696e-02     1.044e-03     2.801e-02
   18      18.000s    -6.998e-03    -1.253e-03     5.744e-03
   19      19.000s     8.808e-03    -2.753e-03    -1.156e-02
   20      20.000s     1.371e-02    -3.667e-03    -1.738e-02
   21      21.000s     2.109e-02    -4.160e-03    -2.525e-02
   22      22.000s     3.209e-02    -4.353e-03    -3.645e-02
   23      23.000s     2.981e-02    -4.340e-03    -3.415e-02
   24      24.000s     1.148e-02    -4.188e-03    -1.567e-02
   25      25.000s    -1.164e-03    -3.949e-03    -2.785e-03
   26      26.000s     3.995e-03    -3.659e-03    -7.654e-03
   27      27.000s     9.239e-03    -3.344e-03    -1.258e-02
   28      28.000s    -3.036e-03    -3.023e-03     1.270e-05
   29      29.000s    -2.119e-02    -2.709e-03     1.848e-02
   30      30.000s    -2.450e-02    -2.409e-03     2.209e-02

============================================================

