SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/cq_00110-d2o-.5mM-6-6-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.296e+00     6.123e-02  
T     =       3.560s    5023714210706907.000s  

RSS   =    2.438e-02
SD    =    2.851e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.040e+00     3.973e-02
    2       2.000s     8.371e-01     8.001e-01    -3.702e-02
    3       3.000s     6.521e-01     6.192e-01    -3.298e-02
    4       4.000s     4.913e-01     4.825e-01    -8.779e-03
    5       5.000s     3.714e-01     3.794e-01     7.991e-03
    6       6.000s     2.859e-01     3.015e-01     1.554e-02
    7       7.000s     2.297e-01     2.426e-01     1.296e-02
    8       8.000s     1.987e-01     1.982e-01    -5.048e-04
    9       9.000s     1.762e-01     1.647e-01    -1.149e-02
   10      10.000s     1.432e-01     1.393e-01    -3.873e-03
   11      11.000s     1.053e-01     1.202e-01     1.490e-02
   12      12.000s     8.548e-02     1.058e-01     2.028e-02
   13      13.000s     8.802e-02     9.486e-02     6.839e-03
   14      14.000s     8.914e-02     8.662e-02    -2.518e-03
   15      15.000s     7.058e-02     8.040e-02     9.824e-03
   16      16.000s     4.363e-02     7.571e-02     3.207e-02
   17      17.000s     2.990e-02     7.216e-02     4.227e-02
   18      18.000s     3.374e-02     6.948e-02     3.574e-02
   19      19.000s     4.517e-02     6.746e-02     2.229e-02
   20      20.000s     5.657e-02     6.593e-02     9.365e-03
   21      21.000s     6.397e-02     6.478e-02     8.081e-04
   22      22.000s     6.249e-02     6.391e-02     1.425e-03
   23      23.000s     5.359e-02     6.325e-02     9.659e-03
   24      24.000s     4.931e-02     6.276e-02     1.345e-02
   25      25.000s     5.731e-02     6.238e-02     5.075e-03
   26      26.000s     6.947e-02     6.210e-02    -7.374e-03
   27      27.000s     7.687e-02     6.189e-02    -1.498e-02
   28      28.000s     8.786e-02     6.172e-02    -2.614e-02
   29      29.000s     1.167e-01     6.160e-02    -5.514e-02
   30      30.000s     1.609e-01     6.151e-02    -9.942e-02

============================================================

