SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000034-d2o-0.5mM-7-5-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 426 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.637e+00    -1.151e-01  
T     =       2.751s       14.649s  

RSS   =    1.024e-02
SD    =    1.847e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.030e+00     3.041e-02
    2       2.000s     7.320e-01     6.907e-01    -4.129e-02
    3       3.000s     4.785e-01     4.562e-01    -2.228e-02
    4       4.000s     2.989e-01     2.948e-01    -4.146e-03
    5       5.000s     1.781e-01     1.840e-01     5.866e-03
    6       6.000s     8.857e-02     1.084e-01     1.982e-02
    7       7.000s     2.635e-02     5.710e-02     3.075e-02
    8       8.000s    -5.773e-03     2.265e-02     2.843e-02
    9       9.000s    -1.751e-02    -1.688e-04     1.734e-02
   10      10.000s    -2.203e-02    -1.499e-02     7.046e-03
   11      11.000s    -2.334e-02    -2.430e-02    -9.688e-04
   12      12.000s    -2.026e-02    -2.987e-02    -9.603e-03
   13      13.000s    -1.424e-02    -3.288e-02    -1.863e-02
   14      14.000s    -8.326e-03    -3.417e-02    -2.585e-02
   15      15.000s    -4.655e-03    -3.433e-02    -2.967e-02
   16      16.000s    -5.335e-03    -3.374e-02    -2.840e-02
   17      17.000s    -1.110e-02    -3.267e-02    -2.157e-02
   18      18.000s    -1.877e-02    -3.133e-02    -1.255e-02
   19      19.000s    -2.449e-02    -2.982e-02    -5.327e-03
   20      20.000s    -2.854e-02    -2.824e-02     2.946e-04
   21      21.000s    -3.247e-02    -2.665e-02     5.821e-03
   22      22.000s    -3.421e-02    -2.508e-02     9.126e-03
   23      23.000s    -3.185e-02    -2.356e-02     8.295e-03
   24      24.000s    -2.965e-02    -2.210e-02     7.553e-03
   25      25.000s    -3.248e-02    -2.070e-02     1.177e-02
   26      26.000s    -3.651e-02    -1.938e-02     1.713e-02
   27      27.000s    -3.384e-02    -1.813e-02     1.571e-02
   28      28.000s    -2.566e-02    -1.696e-02     8.705e-03
   29      29.000s    -2.145e-02    -1.585e-02     5.598e-03
   30      30.000s    -2.427e-02    -1.482e-02     9.454e-03

============================================================

