SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000034-d2o-0.5mM-7-5-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 325 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.177e+00     1.868e-01  
T     =       2.878s       19.863s  

RSS   =    2.838e-03
SD    =    9.727e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.009e+00     8.816e-03
    2       2.000s     7.638e-01     7.561e-01    -7.649e-03
    3       3.000s     5.816e-01     5.754e-01    -6.180e-03
    4       4.000s     4.562e-01     4.458e-01    -1.042e-02
    5       5.000s     3.567e-01     3.523e-01    -4.481e-03
    6       6.000s     2.764e-01     2.844e-01     7.995e-03
    7       7.000s     2.233e-01     2.346e-01     1.131e-02
    8       8.000s     1.911e-01     1.979e-01     6.712e-03
    9       9.000s     1.640e-01     1.703e-01     6.304e-03
   10      10.000s     1.382e-01     1.493e-01     1.109e-02
   11      11.000s     1.203e-01     1.331e-01     1.283e-02
   12      12.000s     1.112e-01     1.203e-01     9.041e-03
   13      13.000s     1.073e-01     1.099e-01     2.614e-03
   14      14.000s     1.078e-01     1.014e-01    -6.475e-03
   15      15.000s     1.117e-01     9.417e-02    -1.752e-02
   16      16.000s     1.115e-01     8.798e-02    -2.351e-02
   17      17.000s     1.022e-01     8.255e-02    -1.961e-02
   18      18.000s     8.954e-02     7.772e-02    -1.183e-02
   19      19.000s     8.161e-02     7.335e-02    -8.262e-03
   20      20.000s     7.627e-02     6.936e-02    -6.912e-03
   21      21.000s     6.713e-02     6.568e-02    -1.451e-03
   22      22.000s     5.626e-02     6.226e-02     5.999e-03
   23      23.000s     5.108e-02     5.906e-02     7.984e-03
   24      24.000s     5.166e-02     5.606e-02     4.406e-03
   25      25.000s     5.087e-02     5.324e-02     2.374e-03
   26      26.000s     4.580e-02     5.058e-02     4.777e-03
   27      27.000s     4.056e-02     4.806e-02     7.503e-03
   28      28.000s     3.813e-02     4.568e-02     7.549e-03
   29      29.000s     3.689e-02     4.342e-02     6.525e-03
   30      30.000s     3.536e-02     4.127e-02     5.916e-03

============================================================

