SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000035-d2o-0.5mM-7-24-11-pH-7.70/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 236 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.291e+00     1.065e-01  
T     =       3.132s       13.695s  

RSS   =    1.829e-02
SD    =    2.469e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.037e+00     3.672e-02
    2       2.000s     8.086e-01     7.734e-01    -3.520e-02
    3       3.000s     6.165e-01     5.807e-01    -3.587e-02
    4       4.000s     4.569e-01     4.393e-01    -1.756e-02
    5       5.000s     3.368e-01     3.354e-01    -1.438e-03
    6       6.000s     2.439e-01     2.587e-01     1.479e-02
    7       7.000s     1.666e-01     2.019e-01     3.535e-02
    8       8.000s     1.115e-01     1.597e-01     4.818e-02
    9       9.000s     9.074e-02     1.281e-01     3.734e-02
   10      10.000s     9.342e-02     1.043e-01     1.085e-02
   11      11.000s     9.148e-02     8.618e-02    -5.308e-03
   12      12.000s     7.761e-02     7.230e-02    -5.318e-03
   13      13.000s     7.192e-02     6.153e-02    -1.039e-02
   14      14.000s     8.156e-02     5.307e-02    -2.849e-02
   15      15.000s     8.338e-02     4.634e-02    -3.705e-02
   16      16.000s     6.375e-02     4.090e-02    -2.285e-02
   17      17.000s     4.533e-02     3.643e-02    -8.894e-03
   18      18.000s     4.958e-02     3.272e-02    -1.686e-02
   19      19.000s     5.953e-02     2.958e-02    -2.995e-02
   20      20.000s     4.986e-02     2.689e-02    -2.297e-02
   21      21.000s     3.039e-02     2.455e-02    -5.837e-03
   22      22.000s     2.536e-02     2.251e-02    -2.856e-03
   23      23.000s     2.915e-02     2.069e-02    -8.457e-03
   24      24.000s     1.966e-02     1.906e-02    -5.984e-04
   25      25.000s     1.375e-03     1.760e-02     1.622e-02
   26      26.000s    -3.819e-03     1.627e-02     2.009e-02
   27      27.000s     1.066e-03     1.506e-02     1.399e-02
   28      28.000s    -6.037e-03     1.395e-02     1.999e-02
   29      29.000s    -2.332e-02     1.293e-02     3.626e-02
   30      30.000s    -2.620e-02     1.200e-02     3.820e-02

============================================================

