SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000037-d2o-0.5mM-6-15-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 132 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.389e+00     1.583e-02  
T     =       3.329s      159.924s  

RSS   =    1.062e-02
SD    =    1.882e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.044e+00     4.409e-02
    2       2.000s     8.226e-01     7.772e-01    -4.540e-02
    3       3.000s     6.225e-01     5.795e-01    -4.298e-02
    4       4.000s     4.454e-01     4.331e-01    -1.232e-02
    5       5.000s     3.100e-01     3.246e-01     1.460e-02
    6       6.000s     2.187e-01     2.443e-01     2.560e-02
    7       7.000s     1.614e-01     1.847e-01     2.331e-02
    8       8.000s     1.226e-01     1.406e-01     1.801e-02
    9       9.000s     9.250e-02     1.080e-01     1.546e-02
   10      10.000s     7.011e-02     8.374e-02     1.363e-02
   11      11.000s     5.523e-02     6.578e-02     1.055e-02
   12      12.000s     4.539e-02     5.245e-02     7.059e-03
   13      13.000s     4.130e-02     4.256e-02     1.260e-03
   14      14.000s     4.564e-02     3.521e-02    -1.043e-02
   15      15.000s     5.389e-02     2.975e-02    -2.414e-02
   16      16.000s     5.490e-02     2.568e-02    -2.922e-02
   17      17.000s     4.457e-02     2.264e-02    -2.193e-02
   18      18.000s     3.121e-02     2.037e-02    -1.084e-02
   19      19.000s     2.330e-02     1.867e-02    -4.634e-03
   20      20.000s     1.954e-02     1.738e-02    -2.162e-03
   21      21.000s     1.549e-02     1.641e-02     9.207e-04
   22      22.000s     1.234e-02     1.567e-02     3.328e-03
   23      23.000s     1.279e-02     1.509e-02     2.301e-03
   24      24.000s     1.429e-02     1.465e-02     3.558e-04
   25      25.000s     1.321e-02     1.430e-02     1.084e-03
   26      26.000s     1.109e-02     1.402e-02     2.928e-03
   27      27.000s     1.056e-02     1.379e-02     3.222e-03
   28      28.000s     9.849e-03     1.359e-02     3.745e-03
   29      29.000s     7.392e-03     1.343e-02     6.038e-03
   30      30.000s     7.181e-03     1.329e-02     6.108e-03

============================================================

