SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000037-d2o-0.5mM-6-15-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 356 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.426e+00     2.251e-02  
T     =       2.977s       43.135s  

RSS   =    9.631e-03
SD    =    1.792e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.041e+00     4.086e-02
    2       2.000s     8.090e-01     7.496e-01    -5.939e-02
    3       3.000s     5.729e-01     5.414e-01    -3.156e-02
    4       4.000s     3.798e-01     3.924e-01     1.264e-02
    5       5.000s     2.598e-01     2.858e-01     2.597e-02
    6       6.000s     1.902e-01     2.095e-01     1.927e-02
    7       7.000s     1.426e-01     1.549e-01     1.230e-02
    8       8.000s     1.080e-01     1.157e-01     7.675e-03
    9       9.000s     8.461e-02     8.759e-02     2.980e-03
   10      10.000s     6.510e-02     6.740e-02     2.299e-03
   11      11.000s     4.576e-02     5.285e-02     7.086e-03
   12      12.000s     3.303e-02     4.235e-02     9.321e-03
   13      13.000s     3.212e-02     3.474e-02     2.618e-03
   14      14.000s     3.698e-02     2.920e-02    -7.785e-03
   15      15.000s     3.837e-02     2.514e-02    -1.324e-02
   16      16.000s     3.583e-02     2.214e-02    -1.369e-02
   17      17.000s     3.457e-02     1.990e-02    -1.467e-02
   18      18.000s     3.509e-02     1.820e-02    -1.689e-02
   19      19.000s     3.318e-02     1.690e-02    -1.628e-02
   20      20.000s     2.769e-02     1.588e-02    -1.181e-02
   21      21.000s     2.180e-02     1.507e-02    -6.732e-03
   22      22.000s     1.703e-02     1.440e-02    -2.635e-03
   23      23.000s     1.192e-02     1.384e-02     1.921e-03
   24      24.000s     6.884e-03     1.336e-02     6.472e-03
   25      25.000s     5.363e-03     1.293e-02     7.568e-03
   26      26.000s     8.054e-03     1.255e-02     4.497e-03
   27      27.000s     1.004e-02     1.220e-02     2.168e-03
   28      28.000s     6.613e-03     1.188e-02     5.267e-03
   29      29.000s     6.197e-05     1.158e-02     1.152e-02
   30      30.000s    -2.682e-03     1.129e-02     1.397e-02

============================================================

