SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000041-d2o-0.5mM-6-14-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 193 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.163e+00     2.113e-01  
T     =       3.189s       11.416s  

RSS   =    4.851e-02
SD    =    4.021e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.044e+00     4.373e-02
    2       2.000s     8.436e-01     7.986e-01    -4.493e-02
    3       3.000s     6.593e-01     6.165e-01    -4.278e-02
    4       4.000s     4.987e-01     4.807e-01    -1.805e-02
    5       5.000s     3.758e-01     3.789e-01     3.101e-03
    6       6.000s     2.789e-01     3.022e-01     2.329e-02
    7       7.000s     1.993e-01     2.440e-01     4.465e-02
    8       8.000s     1.450e-01     1.995e-01     5.453e-02
    9       9.000s     1.249e-01     1.652e-01     4.030e-02
   10      10.000s     1.280e-01     1.386e-01     1.055e-02
   11      11.000s     1.293e-01     1.176e-01    -1.167e-02
   12      12.000s     1.193e-01     1.009e-01    -1.839e-02
   13      13.000s     1.131e-01     8.741e-02    -2.567e-02
   14      14.000s     1.223e-01     7.642e-02    -4.583e-02
   15      15.000s     1.304e-01     6.734e-02    -6.304e-02
   16      16.000s     1.102e-01     5.974e-02    -5.048e-02
   17      17.000s     6.023e-02     5.330e-02    -6.929e-03
   18      18.000s     1.152e-02     4.779e-02     3.627e-02
   19      19.000s    -1.256e-03     4.302e-02     4.428e-02
   20      20.000s     2.964e-02     3.885e-02     9.218e-03
   21      21.000s     7.832e-02     3.519e-02    -4.313e-02
   22      22.000s     1.022e-01     3.194e-02    -7.025e-02
   23      23.000s     7.367e-02     2.904e-02    -4.462e-02
   24      24.000s     7.655e-03     2.645e-02     1.879e-02
   25      25.000s    -4.693e-02     2.412e-02     7.104e-02
   26      26.000s    -5.374e-02     2.201e-02     7.575e-02
   27      27.000s    -2.352e-02     2.010e-02     4.362e-02
   28      28.000s     6.567e-03     1.837e-02     1.180e-02
   29      29.000s     1.836e-02     1.680e-02    -1.568e-03
   30      30.000s     2.150e-02     1.536e-02    -6.135e-03

============================================================

