SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000042-d2o-0.5mM-6-13-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.453e+00     4.782e-03  
T     =       2.761s    3282822828839.667s  

RSS   =    2.546e-03
SD    =    9.213e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.016e+00     1.646e-02
    2       2.000s     7.298e-01     7.090e-01    -2.071e-02
    3       3.000s     5.056e-01     4.950e-01    -1.051e-02
    4       4.000s     3.519e-01     3.461e-01    -5.783e-03
    5       5.000s     2.438e-01     2.424e-01    -1.461e-03
    6       6.000s     1.610e-01     1.702e-01     9.132e-03
    7       7.000s     1.028e-01     1.199e-01     1.714e-02
    8       8.000s     6.879e-02     8.493e-02     1.615e-02
    9       9.000s     4.918e-02     6.058e-02     1.140e-02
   10      10.000s     3.598e-02     4.362e-02     7.646e-03
   11      11.000s     2.992e-02     3.182e-02     1.901e-03
   12      12.000s     3.003e-02     2.361e-02    -6.424e-03
   13      13.000s     2.741e-02     1.789e-02    -9.523e-03
   14      14.000s     1.721e-02     1.390e-02    -3.303e-03
   15      15.000s     8.189e-03     1.113e-02     2.944e-03
   16      16.000s     1.042e-02     9.203e-03    -1.214e-03
   17      17.000s     1.920e-02     7.859e-03    -1.134e-02
   18      18.000s     2.200e-02     6.924e-03    -1.507e-02
   19      19.000s     1.701e-02     6.273e-03    -1.074e-02
   20      20.000s     1.259e-02     5.820e-03    -6.774e-03
   21      21.000s     1.080e-02     5.505e-03    -5.294e-03
   22      22.000s     5.534e-03     5.285e-03    -2.488e-04
   23      23.000s    -2.531e-03     5.132e-03     7.664e-03
   24      24.000s    -4.015e-03     5.026e-03     9.040e-03
   25      25.000s     2.595e-03     4.952e-03     2.357e-03
   26      26.000s     6.638e-03     4.900e-03    -1.738e-03
   27      27.000s     3.158e-03     4.864e-03     1.706e-03
   28      28.000s     8.311e-04     4.839e-03     4.008e-03
   29      29.000s     4.207e-03     4.822e-03     6.150e-04
   30      30.000s     2.829e-03     4.810e-03     1.980e-03

============================================================

