SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000042-d2o-0.5mM-6-13-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 297 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.211e+00     2.609e-01  
T     =       2.356s        7.040s  

RSS   =    5.286e-03
SD    =    1.327e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.018e+00     1.845e-02
    2       2.000s     7.527e-01     7.146e-01    -3.816e-02
    3       3.000s     5.164e-01     5.094e-01    -7.079e-03
    4       4.000s     3.534e-01     3.696e-01     1.613e-02
    5       5.000s     2.537e-01     2.733e-01     1.957e-02
    6       6.000s     1.879e-01     2.062e-01     1.828e-02
    7       7.000s     1.475e-01     1.586e-01     1.113e-02
    8       8.000s     1.315e-01     1.244e-01    -7.148e-03
    9       9.000s     1.230e-01     9.924e-02    -2.380e-02
   10      10.000s     1.018e-01     8.043e-02    -2.141e-02
   11      11.000s     6.994e-02     6.607e-02    -3.875e-03
   12      12.000s     4.612e-02     5.490e-02     8.771e-03
   13      13.000s     3.890e-02     4.604e-02     7.143e-03
   14      14.000s     3.958e-02     3.891e-02    -6.779e-04
   15      15.000s     3.951e-02     3.307e-02    -6.431e-03
   16      16.000s     3.880e-02     2.825e-02    -1.054e-02
   17      17.000s     3.710e-02     2.422e-02    -1.288e-02
   18      18.000s     2.966e-02     2.082e-02    -8.841e-03
   19      19.000s     1.714e-02     1.794e-02     7.964e-04
   20      20.000s     8.314e-03     1.548e-02     7.170e-03
   21      21.000s     7.309e-03     1.338e-02     6.072e-03
   22      22.000s     7.256e-03     1.157e-02     4.319e-03
   23      23.000s     2.132e-03     1.002e-02     7.887e-03
   24      24.000s    -3.549e-03     8.677e-03     1.223e-02
   25      25.000s    -3.716e-03     7.519e-03     1.123e-02
   26      26.000s    -1.635e-03     6.517e-03     8.152e-03
   27      27.000s    -3.173e-03     5.650e-03     8.822e-03
   28      28.000s    -5.159e-03     4.899e-03     1.006e-02
   29      29.000s    -9.260e-04     4.248e-03     5.174e-03
   30      30.000s     5.725e-03     3.685e-03    -2.040e-03

============================================================

