SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000043-d2o-0.5mM-6-13-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.397e+00    -9.381e-02  
T     =       4.740s    150846444844500.312s  

RSS   =    5.964e-02
SD    =    4.459e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.037e+00     3.746e-02
    2       2.000s     8.395e-01     8.223e-01    -1.719e-02
    3       3.000s     6.660e-01     6.480e-01    -1.793e-02
    4       4.000s     5.450e-01     5.069e-01    -3.806e-02
    5       5.000s     4.469e-01     3.927e-01    -5.428e-02
    6       6.000s     3.178e-01     3.001e-01    -1.771e-02
    7       7.000s     1.778e-01     2.252e-01     4.740e-02
    8       8.000s     9.261e-02     1.645e-01     7.191e-02
    9       9.000s     6.953e-02     1.154e-01     4.585e-02
   10      10.000s     5.126e-02     7.559e-02     2.433e-02
   11      11.000s     1.342e-02     4.337e-02     2.995e-02
   12      12.000s    -3.651e-03     1.728e-02     2.093e-02
   13      13.000s     1.988e-02    -3.851e-03    -2.373e-02
   14      14.000s     3.428e-02    -2.096e-02    -5.524e-02
   15      15.000s    -2.601e-03    -3.482e-02    -3.222e-02
   16      16.000s    -5.266e-02    -4.604e-02     6.620e-03
   17      17.000s    -5.515e-02    -5.513e-02     2.868e-05
   18      18.000s    -2.005e-02    -6.248e-02    -4.243e-02
   19      19.000s    -5.229e-03    -6.844e-02    -6.321e-02
   20      20.000s    -2.441e-02    -7.327e-02    -4.886e-02
   21      21.000s    -4.205e-02    -7.717e-02    -3.513e-02
   22      22.000s    -5.126e-02    -8.034e-02    -2.908e-02
   23      23.000s    -8.805e-02    -8.290e-02     5.147e-03
   24      24.000s    -1.551e-01    -8.498e-02     7.007e-02
   25      25.000s    -1.940e-01    -8.666e-02     1.074e-01
   26      26.000s    -1.658e-01    -8.802e-02     7.778e-02
   27      27.000s    -1.088e-01    -8.912e-02     1.964e-02
   28      28.000s    -7.817e-02    -9.001e-02    -1.184e-02
   29      29.000s    -6.702e-02    -9.073e-02    -2.371e-02
   30      30.000s    -3.745e-02    -9.132e-02    -5.387e-02

============================================================

