SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000043-d2o-0.5mM-6-13-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 281 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.315e+00     6.416e-02  
T     =       3.218s      313.397s  

RSS   =    2.876e-02
SD    =    3.096e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.028e+00     2.770e-02
    2       2.000s     8.132e-01     7.701e-01    -4.313e-02
    3       3.000s     6.041e-01     5.812e-01    -2.289e-02
    4       4.000s     4.286e-01     4.428e-01     1.414e-02
    5       5.000s     3.166e-01     3.412e-01     2.464e-02
    6       6.000s     2.573e-01     2.668e-01     9.460e-03
    7       7.000s     2.090e-01     2.121e-01     3.150e-03
    8       8.000s     1.514e-01     1.720e-01     2.060e-02
    9       9.000s     1.133e-01     1.426e-01     2.931e-02
   10      10.000s     1.211e-01     1.210e-01    -1.871e-04
   11      11.000s     1.463e-01     1.050e-01    -4.123e-02
   12      12.000s     1.398e-01     9.334e-02    -4.649e-02
   13      13.000s     1.038e-01     8.470e-02    -1.908e-02
   14      14.000s     8.244e-02     7.832e-02    -4.121e-03
   15      15.000s     9.014e-02     7.360e-02    -1.654e-02
   16      16.000s     9.199e-02     7.008e-02    -2.191e-02
   17      17.000s     6.102e-02     6.745e-02     6.428e-03
   18      18.000s     1.637e-02     6.547e-02     4.911e-02
   19      19.000s    -5.388e-03     6.397e-02     6.936e-02
   20      20.000s     1.102e-02     6.282e-02     5.180e-02
   21      21.000s     5.478e-02     6.193e-02     7.144e-03
   22      22.000s     9.729e-02     6.122e-02    -3.607e-02
   23      23.000s     1.050e-01     6.065e-02    -4.430e-02
   24      24.000s     7.301e-02     6.019e-02    -1.282e-02
   25      25.000s     4.456e-02     5.979e-02     1.524e-02
   26      26.000s     6.122e-02     5.946e-02    -1.764e-03
   27      27.000s     9.824e-02     5.916e-02    -3.908e-02
   28      28.000s     9.384e-02     5.889e-02    -3.495e-02
   29      29.000s     4.488e-02     5.865e-02     1.377e-02
   30      30.000s     1.569e-02     5.842e-02     4.273e-02

============================================================

