SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000044-d2o-0.5mM-6-13-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.517e+00    -4.030e-02  
T     =       3.124s    422505933029895.500s  

RSS   =    4.949e-02
SD    =    4.062e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.061e+00     6.101e-02
    2       2.000s     8.232e-01     7.594e-01    -6.388e-02
    3       3.000s     6.102e-01     5.403e-01    -6.990e-02
    4       4.000s     4.076e-01     3.813e-01    -2.627e-02
    5       5.000s     2.363e-01     2.658e-01     2.956e-02
    6       6.000s     1.157e-01     1.820e-01     6.632e-02
    7       7.000s     5.455e-02     1.211e-01     6.655e-02
    8       8.000s     4.027e-02     7.689e-02     3.663e-02
    9       9.000s     4.585e-02     4.479e-02    -1.053e-03
   10      10.000s     4.251e-02     2.149e-02    -2.102e-02
   11      11.000s     1.646e-02     4.565e-03    -1.189e-02
   12      12.000s    -1.520e-02    -7.722e-03     7.480e-03
   13      13.000s    -2.050e-02    -1.664e-02     3.860e-03
   14      14.000s     2.914e-03    -2.312e-02    -2.604e-02
   15      15.000s     1.848e-02    -2.783e-02    -4.630e-02
   16      16.000s     6.327e-04    -3.124e-02    -3.187e-02
   17      17.000s    -2.878e-02    -3.372e-02    -4.938e-03
   18      18.000s    -3.396e-02    -3.552e-02    -1.558e-03
   19      19.000s    -1.320e-02    -3.683e-02    -2.363e-02
   20      20.000s     8.734e-03    -3.778e-02    -4.651e-02
   21      21.000s     1.584e-02    -3.847e-02    -5.431e-02
   22      22.000s     5.482e-03    -3.897e-02    -4.445e-02
   23      23.000s    -2.197e-02    -3.933e-02    -1.737e-02
   24      24.000s    -5.358e-02    -3.960e-02     1.399e-02
   25      25.000s    -6.353e-02    -3.979e-02     2.374e-02
   26      26.000s    -4.772e-02    -3.993e-02     7.795e-03
   27      27.000s    -3.978e-02    -4.003e-02    -2.498e-04
   28      28.000s    -6.633e-02    -4.010e-02     2.623e-02
   29      29.000s    -1.063e-01    -4.015e-02     6.611e-02
   30      30.000s    -1.222e-01    -4.019e-02     8.199e-02

============================================================

