SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000044-d2o-0.5mM-6-13-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 122 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.303e+00     6.326e-02  
T     =       3.043s      189.153s  

RSS   =    2.626e-02
SD    =    2.958e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.001e+00     8.598e-04
    2       2.000s     7.533e-01     7.378e-01    -1.546e-02
    3       3.000s     5.334e-01     5.484e-01     1.494e-02
    4       4.000s     4.095e-01     4.119e-01     2.406e-03
    5       5.000s     3.234e-01     3.135e-01    -9.904e-03
    6       6.000s     2.211e-01     2.427e-01     2.154e-02
    7       7.000s     1.469e-01     1.915e-01     4.459e-02
    8       8.000s     1.504e-01     1.546e-01     4.203e-03
    9       9.000s     1.783e-01     1.280e-01    -5.035e-02
   10      10.000s     1.512e-01     1.087e-01    -4.252e-02
   11      11.000s     9.368e-02     9.476e-02     1.078e-03
   12      12.000s     8.528e-02     8.462e-02    -6.631e-04
   13      13.000s     1.162e-01     7.723e-02    -3.893e-02
   14      14.000s     1.039e-01     7.183e-02    -3.208e-02
   15      15.000s     4.405e-02     6.786e-02     2.381e-02
   16      16.000s     2.561e-02     6.491e-02     3.930e-02
   17      17.000s     7.838e-02     6.270e-02    -1.568e-02
   18      18.000s     1.162e-01     6.103e-02    -5.518e-02
   19      19.000s     7.550e-02     5.974e-02    -1.576e-02
   20      20.000s     1.337e-02     5.873e-02     4.537e-02
   21      21.000s     7.608e-03     5.792e-02     5.031e-02
   22      22.000s     3.838e-02     5.726e-02     1.887e-02
   23      23.000s     4.204e-02     5.669e-02     1.466e-02
   24      24.000s     2.189e-02     5.621e-02     3.432e-02
   25      25.000s     2.525e-02     5.578e-02     3.053e-02
   26      26.000s     5.045e-02     5.539e-02     4.934e-03
   27      27.000s     5.800e-02     5.503e-02    -2.978e-03
   28      28.000s     5.215e-02     5.469e-02     2.533e-03
   29      29.000s     7.237e-02     5.436e-02    -1.801e-02
   30      30.000s     1.092e-01     5.405e-02    -5.519e-02

============================================================

