SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000045-d2o-0.5mM-6-13-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 3595 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    5.226e+01    -5.093e+01  
T     =       5.834s        5.901s  

RSS   =    1.930e-02
SD    =    2.537e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.041e+00     4.146e-02
    2       2.000s     8.398e-01     8.069e-01    -3.290e-02
    3       3.000s     6.542e-01     6.202e-01    -3.397e-02
    4       4.000s     4.820e-01     4.723e-01    -9.737e-03
    5       5.000s     3.547e-01     3.555e-01     7.940e-04
    6       6.000s     2.739e-01     2.637e-01    -1.025e-02
    7       7.000s     2.017e-01     1.919e-01    -9.731e-03
    8       8.000s     1.094e-01     1.362e-01     2.680e-02
    9       9.000s     2.614e-02     9.319e-02     6.705e-02
   10      10.000s     9.450e-04     6.033e-02     5.939e-02
   11      11.000s     2.831e-02     3.549e-02     7.180e-03
   12      12.000s     5.253e-02     1.694e-02    -3.559e-02
   13      13.000s     4.273e-02     3.341e-03    -3.939e-02
   14      14.000s     2.128e-02    -6.414e-03    -2.769e-02
   15      15.000s     1.248e-02    -1.319e-02    -2.567e-02
   16      16.000s     4.824e-03    -1.769e-02    -2.252e-02
   17      17.000s    -1.827e-02    -2.046e-02    -2.182e-03
   18      18.000s    -4.288e-02    -2.192e-02     2.096e-02
   19      19.000s    -4.482e-02    -2.242e-02     2.240e-02
   20      20.000s    -2.717e-02    -2.223e-02     4.943e-03
   21      21.000s    -1.457e-02    -2.154e-02    -6.974e-03
   22      22.000s    -1.854e-02    -2.053e-02    -1.990e-03
   23      23.000s    -2.673e-02    -1.930e-02     7.427e-03
   24      24.000s    -2.478e-02    -1.796e-02     6.818e-03
   25      25.000s    -1.535e-02    -1.656e-02    -1.210e-03
   26      26.000s    -1.083e-02    -1.516e-02    -4.334e-03
   27      27.000s    -1.306e-02    -1.379e-02    -7.284e-04
   28      28.000s    -1.019e-02    -1.248e-02    -2.285e-03
   29      29.000s     1.619e-03    -1.124e-02    -1.286e-02
   30      30.000s     3.826e-03    -1.008e-02    -1.391e-02

============================================================

