SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000045-d2o-0.5mM-6-13-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.347e+00    -6.484e-03  
T     =       3.994s    19916042425491.262s  

RSS   =    7.160e-02
SD    =    4.885e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.042e+00     4.176e-02
    2       2.000s     8.228e-01     8.096e-01    -1.319e-02
    3       3.000s     6.700e-01     6.288e-01    -4.119e-02
    4       4.000s     5.357e-01     4.881e-01    -4.766e-02
    5       5.000s     3.982e-01     3.785e-01    -1.962e-02
    6       6.000s     2.789e-01     2.933e-01     1.432e-02
    7       7.000s     2.099e-01     2.269e-01     1.696e-02
    8       8.000s     1.706e-01     1.752e-01     4.525e-03
    9       9.000s     1.137e-01     1.349e-01     2.122e-02
   10      10.000s     4.032e-02     1.036e-01     6.329e-02
   11      11.000s     3.825e-04     7.922e-02     7.884e-02
   12      12.000s     1.644e-02     6.024e-02     4.380e-02
   13      13.000s     5.092e-02     4.546e-02    -5.458e-03
   14      14.000s     5.810e-02     3.395e-02    -2.415e-02
   15      15.000s     3.560e-02     2.500e-02    -1.060e-02
   16      16.000s     1.340e-02     1.802e-02     4.621e-03
   17      17.000s     1.584e-02     1.259e-02    -3.241e-03
   18      18.000s     4.303e-02     8.369e-03    -3.466e-02
   19      19.000s     7.324e-02     5.079e-03    -6.816e-02
   20      20.000s     8.059e-02     2.517e-03    -7.807e-02
   21      21.000s     6.335e-02     5.236e-04    -6.283e-02
   22      22.000s     4.862e-02    -1.029e-03    -4.965e-02
   23      23.000s     5.334e-02    -2.237e-03    -5.557e-02
   24      24.000s     5.515e-02    -3.178e-03    -5.833e-02
   25      25.000s     2.664e-02    -3.910e-03    -3.055e-02
   26      26.000s    -1.811e-02    -4.480e-03     1.363e-02
   27      27.000s    -4.658e-02    -4.924e-03     4.166e-02
   28      28.000s    -6.306e-02    -5.269e-03     5.779e-02
   29      29.000s    -9.303e-02    -5.538e-03     8.749e-02
   30      30.000s    -1.188e-01    -5.748e-03     1.130e-01

============================================================

