SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000047-d2o-0.5mM-6-13-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 99 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.471e+00    -4.685e-02  
T     =       3.363s      206.207s  

RSS   =    4.218e-02
SD    =    3.750e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.046e+00     4.595e-02
    2       2.000s     8.275e-01     7.651e-01    -6.241e-02
    3       3.000s     5.994e-01     5.566e-01    -4.281e-02
    4       4.000s     3.835e-01     4.018e-01     1.828e-02
    5       5.000s     2.465e-01     2.868e-01     4.031e-02
    6       6.000s     1.845e-01     2.015e-01     1.701e-02
    7       7.000s     1.395e-01     1.382e-01    -1.325e-03
    8       8.000s     8.361e-02     9.122e-02     7.613e-03
    9       9.000s     4.108e-02     5.638e-02     1.530e-02
   10      10.000s     3.115e-02     3.056e-02    -5.952e-04
   11      11.000s     3.696e-02     1.143e-02    -2.553e-02
   12      12.000s     3.528e-02    -2.717e-03    -3.800e-02
   13      13.000s     1.662e-02    -1.317e-02    -2.980e-02
   14      14.000s    -2.314e-02    -2.089e-02     2.254e-03
   15      15.000s    -7.202e-02    -2.656e-02     4.546e-02
   16      16.000s    -9.019e-02    -3.072e-02     5.947e-02
   17      17.000s    -5.546e-02    -3.376e-02     2.169e-02
   18      18.000s    -1.393e-02    -3.597e-02    -2.204e-02
   19      19.000s    -3.172e-02    -3.755e-02    -5.829e-03
   20      20.000s    -9.617e-02    -3.868e-02     5.749e-02
   21      21.000s    -1.226e-01    -3.946e-02     8.312e-02
   22      22.000s    -6.954e-02    -3.999e-02     2.955e-02
   23      23.000s     7.265e-03    -4.033e-02    -4.759e-02
   24      24.000s     3.434e-02    -4.053e-02    -7.488e-02
   25      25.000s     5.745e-03    -4.063e-02    -4.638e-02
   26      26.000s    -3.293e-02    -4.065e-02    -7.727e-03
   27      27.000s    -4.660e-02    -4.062e-02     5.983e-03
   28      28.000s    -3.397e-02    -4.054e-02    -6.575e-03
   29      29.000s    -1.664e-02    -4.044e-02    -2.380e-02
   30      30.000s    -2.031e-02    -4.031e-02    -2.000e-02

============================================================

