SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000051-d2o-0.5mM-7-24-11-pH-7.70/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.475e+00     2.623e-03  
T     =       2.894s    22997629545713.617s  

RSS   =    1.113e-02
SD    =    1.926e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.046e+00     4.648e-02
    2       2.000s     8.068e-01     7.415e-01    -6.533e-02
    3       3.000s     5.604e-01     5.256e-01    -3.481e-02
    4       4.000s     3.657e-01     3.728e-01     7.048e-03
    5       5.000s     2.433e-01     2.646e-01     2.134e-02
    6       6.000s     1.638e-01     1.881e-01     2.423e-02
    7       7.000s     1.089e-01     1.339e-01     2.495e-02
    8       8.000s     7.801e-02     9.552e-02     1.751e-02
    9       9.000s     6.314e-02     6.838e-02     5.237e-03
   10      10.000s     4.805e-02     4.917e-02     1.116e-03
   11      11.000s     2.912e-02     3.557e-02     6.443e-03
   12      12.000s     1.756e-02     2.594e-02     8.376e-03
   13      13.000s     1.914e-02     1.913e-02    -1.796e-05
   14      14.000s     2.538e-02     1.430e-02    -1.107e-02
   15      15.000s     2.688e-02     1.089e-02    -1.599e-02
   16      16.000s     2.411e-02     8.475e-03    -1.564e-02
   17      17.000s     2.093e-02     6.765e-03    -1.417e-02
   18      18.000s     1.670e-02     5.555e-03    -1.115e-02
   19      19.000s     9.824e-03     4.698e-03    -5.126e-03
   20      20.000s     3.003e-03     4.092e-03     1.089e-03
   21      21.000s     8.247e-06     3.663e-03     3.655e-03
   22      22.000s     1.112e-03     3.359e-03     2.247e-03
   23      23.000s     4.621e-03     3.144e-03    -1.477e-03
   24      24.000s     8.723e-03     2.992e-03    -5.731e-03
   25      25.000s     9.659e-03     2.884e-03    -6.775e-03
   26      26.000s     3.652e-03     2.808e-03    -8.444e-04
   27      27.000s    -5.907e-03     2.754e-03     8.661e-03
   28      28.000s    -8.909e-03     2.716e-03     1.162e-02
   29      29.000s    -1.120e-03     2.689e-03     3.809e-03
   30      30.000s     8.365e-03     2.670e-03    -5.696e-03

============================================================

