SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000051-d2o-0.5mM-7-24-11-pH-7.70/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 390 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.441e+00     8.021e-02  
T     =       2.328s       21.221s  

RSS   =    4.321e-03
SD    =    1.200e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.015e+00     1.455e-02
    2       2.000s     7.087e-01     6.835e-01    -2.520e-02
    3       3.000s     4.698e-01     4.670e-01    -2.824e-03
    4       4.000s     3.264e-01     3.250e-01    -1.322e-03
    5       5.000s     2.338e-01     2.317e-01    -2.140e-03
    6       6.000s     1.575e-01     1.700e-01     1.246e-02
    7       7.000s     1.071e-01     1.290e-01     2.182e-02
    8       8.000s     8.942e-02     1.014e-01     1.200e-02
    9       9.000s     8.132e-02     8.269e-02     1.368e-03
   10      10.000s     6.433e-02     6.972e-02     5.394e-03
   11      11.000s     5.030e-02     6.056e-02     1.026e-02
   12      12.000s     5.358e-02     5.389e-02     3.158e-04
   13      13.000s     6.270e-02     4.889e-02    -1.381e-02
   14      14.000s     6.000e-02     4.499e-02    -1.501e-02
   15      15.000s     5.031e-02     4.185e-02    -8.453e-03
   16      16.000s     4.865e-02     3.923e-02    -9.415e-03
   17      17.000s     5.317e-02     3.697e-02    -1.620e-02
   18      18.000s     5.126e-02     3.498e-02    -1.629e-02
   19      19.000s     4.297e-02     3.317e-02    -9.795e-03
   20      20.000s     3.794e-02     3.152e-02    -6.418e-03
   21      21.000s     3.555e-02     2.999e-02    -5.563e-03
   22      22.000s     2.759e-02     2.856e-02     9.674e-04
   23      23.000s     1.704e-02     2.721e-02     1.017e-02
   24      24.000s     1.572e-02     2.593e-02     1.022e-02
   25      25.000s     2.412e-02     2.472e-02     6.063e-04
   26      26.000s     2.973e-02     2.358e-02    -6.155e-03
   27      27.000s     2.534e-02     2.249e-02    -2.852e-03
   28      28.000s     1.508e-02     2.145e-02     6.371e-03
   29      29.000s     3.546e-03     2.046e-02     1.691e-02
   30      30.000s    -6.843e-03     1.951e-02     2.636e-02

============================================================

