SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/CQ_00130_05M_D2O_2-22-11/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 3820 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    5.130e+01    -4.998e+01  
T     =       5.136s        5.181s  

RSS   =    7.308e-03
SD    =    1.561e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.023e+00     2.300e-02
    2       2.000s     7.996e-01     7.851e-01    -1.453e-02
    3       3.000s     6.086e-01     5.993e-01    -9.281e-03
    4       4.000s     4.777e-01     4.546e-01    -2.309e-02
    5       5.000s     3.702e-01     3.423e-01    -2.795e-02
    6       6.000s     2.559e-01     2.554e-01    -5.413e-04
    7       7.000s     1.589e-01     1.885e-01     2.968e-02
    8       8.000s     1.047e-01     1.373e-01     3.263e-02
    9       9.000s     7.802e-02     9.827e-02     2.025e-02
   10      10.000s     5.390e-02     6.874e-02     1.484e-02
   11      11.000s     3.366e-02     4.656e-02     1.289e-02
   12      12.000s     2.696e-02     3.006e-02     3.099e-03
   13      13.000s     2.608e-02     1.793e-02    -8.151e-03
   14      14.000s     2.022e-02     9.144e-03    -1.108e-02
   15      15.000s     1.497e-02     2.897e-03    -1.208e-02
   16      16.000s     1.819e-02    -1.433e-03    -1.962e-02
   17      17.000s     2.198e-02    -4.326e-03    -2.631e-02
   18      18.000s     1.561e-02    -6.155e-03    -2.177e-02
   19      19.000s     3.594e-03    -7.205e-03    -1.080e-02
   20      20.000s    -3.751e-03    -7.694e-03    -3.943e-03
   21      21.000s    -6.959e-03    -7.787e-03    -8.283e-04
   22      22.000s    -1.136e-02    -7.608e-03     3.748e-03
   23      23.000s    -1.434e-02    -7.251e-03     7.093e-03
   24      24.000s    -1.161e-02    -6.783e-03     4.828e-03
   25      25.000s    -7.815e-03    -6.255e-03     1.560e-03
   26      26.000s    -9.202e-03    -5.702e-03     3.500e-03
   27      27.000s    -1.262e-02    -5.150e-03     7.473e-03
   28      28.000s    -1.244e-02    -4.616e-03     7.823e-03
   29      29.000s    -1.147e-02    -4.109e-03     7.364e-03
   30      30.000s    -1.470e-02    -3.638e-03     1.106e-02

============================================================

