SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/CQ_00130_05M_D2O_2-22-11/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.299e+00     2.112e-02  
T     =       5.171s    163857780189993.750s  

RSS   =    4.259e-02
SD    =    3.768e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.091e+00     9.137e-02
    2       2.000s     9.084e-01     9.032e-01    -5.206e-03
    3       3.000s     8.422e-01     7.481e-01    -9.415e-02
    4       4.000s     7.265e-01     6.203e-01    -1.062e-01
    5       5.000s     5.566e-01     5.149e-01    -4.170e-02
    6       6.000s     4.058e-01     4.281e-01     2.229e-02
    7       7.000s     3.173e-01     3.566e-01     3.929e-02
    8       8.000s     2.614e-01     2.976e-01     3.617e-02
    9       9.000s     2.045e-01     2.490e-01     4.442e-02
   10      10.000s     1.572e-01     2.089e-01     5.170e-02
   11      11.000s     1.359e-01     1.759e-01     3.997e-02
   12      12.000s     1.262e-01     1.487e-01     2.250e-02
   13      13.000s     1.100e-01     1.263e-01     1.625e-02
   14      14.000s     9.579e-02     1.078e-01     1.198e-02
   15      15.000s     9.551e-02     9.253e-02    -2.978e-03
   16      16.000s     9.816e-02     7.998e-02    -1.818e-02
   17      17.000s     8.888e-02     6.963e-02    -1.925e-02
   18      18.000s     7.420e-02     6.110e-02    -1.310e-02
   19      19.000s     6.721e-02     5.407e-02    -1.314e-02
   20      20.000s     6.438e-02     4.828e-02    -1.610e-02
   21      21.000s     5.641e-02     4.350e-02    -1.290e-02
   22      22.000s     4.746e-02     3.957e-02    -7.893e-03
   23      23.000s     4.529e-02     3.632e-02    -8.964e-03
   24      24.000s     4.447e-02     3.365e-02    -1.082e-02
   25      25.000s     3.691e-02     3.145e-02    -5.464e-03
   26      26.000s     2.842e-02     2.963e-02     1.216e-03
   27      27.000s     2.820e-02     2.814e-02    -5.956e-05
   28      28.000s     3.126e-02     2.690e-02    -4.354e-03
   29      29.000s     2.747e-02     2.589e-02    -1.587e-03
   30      30.000s     2.010e-02     2.505e-02     4.953e-03

============================================================

