SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000103-d2o-0.5mM-6-13-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 225 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.063e+00     3.292e-01  
T     =       2.507s        8.120s  

RSS   =    5.358e-02
SD    =    4.226e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.004e+00     4.282e-03
    2       2.000s     7.533e-01     7.360e-01    -1.739e-02
    3       3.000s     5.361e-01     5.487e-01     1.263e-02
    4       4.000s     4.021e-01     4.167e-01     1.456e-02
    5       5.000s     3.196e-01     3.225e-01     2.919e-03
    6       6.000s     2.579e-01     2.543e-01    -3.553e-03
    7       7.000s     2.197e-01     2.042e-01    -1.552e-02
    8       8.000s     2.025e-01     1.666e-01    -3.591e-02
    9       9.000s     1.771e-01     1.380e-01    -3.913e-02
   10      10.000s     1.182e-01     1.158e-01    -2.417e-03
   11      11.000s     3.851e-02     9.815e-02     5.965e-02
   12      12.000s    -1.713e-02     8.397e-02     1.011e-01
   13      13.000s    -1.108e-02     7.235e-02     8.343e-02
   14      14.000s     4.980e-02     6.270e-02     1.290e-02
   15      15.000s     1.143e-01     5.458e-02    -5.976e-02
   16      16.000s     1.347e-01     4.769e-02    -8.702e-02
   17      17.000s     1.139e-01     4.178e-02    -7.208e-02
   18      18.000s     9.016e-02     3.668e-02    -5.348e-02
   19      19.000s     7.773e-02     3.226e-02    -4.547e-02
   20      20.000s     5.211e-02     2.841e-02    -2.370e-02
   21      21.000s     3.352e-03     2.504e-02     2.168e-02
   22      22.000s    -3.330e-02     2.208e-02     5.538e-02
   23      23.000s    -2.529e-02     1.949e-02     4.478e-02
   24      24.000s     6.576e-03     1.721e-02     1.063e-02
   25      25.000s     1.809e-02     1.520e-02    -2.891e-03
   26      26.000s     3.232e-03     1.343e-02     1.019e-02
   27      27.000s    -9.007e-03     1.186e-02     2.087e-02
   28      28.000s    -6.568e-03     1.048e-02     1.705e-02
   29      29.000s    -5.191e-03     9.266e-03     1.446e-02
   30      30.000s    -1.093e-02     8.191e-03     1.912e-02

============================================================

