SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000103-d2o-0.5mM-6-13-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.720e+00    -2.974e-02  
T     =       2.124s    644933748327869.750s  

RSS   =    2.920e-02
SD    =    3.120e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.044e+00     4.414e-02
    2       2.000s     7.230e-01     6.409e-01    -8.211e-02
    3       3.000s     4.193e-01     3.890e-01    -3.030e-02
    4       4.000s     2.056e-01     2.318e-01     2.618e-02
    5       5.000s     9.076e-02     1.336e-01     4.280e-02
    6       6.000s     3.130e-02     7.223e-02     4.093e-02
    7       7.000s     4.243e-04     3.394e-02     3.351e-02
    8       8.000s    -9.659e-03     1.002e-02     1.968e-02
    9       9.000s    -1.042e-02    -4.911e-03     5.509e-03
   10      10.000s    -1.136e-02    -1.424e-02    -2.874e-03
   11      11.000s    -7.838e-03    -2.006e-02    -1.222e-02
   12      12.000s     5.641e-03    -2.370e-02    -2.934e-02
   13      13.000s     1.903e-02    -2.597e-02    -4.500e-02
   14      14.000s     1.751e-02    -2.739e-02    -4.490e-02
   15      15.000s     2.681e-03    -2.827e-02    -3.095e-02
   16      16.000s    -8.281e-03    -2.883e-02    -2.054e-02
   17      17.000s    -4.147e-03    -2.917e-02    -2.502e-02
   18      18.000s     5.367e-03    -2.939e-02    -3.475e-02
   19      19.000s    -8.886e-04    -2.952e-02    -2.863e-02
   20      20.000s    -2.986e-02    -2.961e-02     2.553e-04
   21      21.000s    -6.178e-02    -2.966e-02     3.212e-02
   22      22.000s    -7.096e-02    -2.969e-02     4.127e-02
   23      23.000s    -5.691e-02    -2.971e-02     2.720e-02
   24      24.000s    -4.155e-02    -2.972e-02     1.183e-02
   25      25.000s    -3.647e-02    -2.973e-02     6.739e-03
   26      26.000s    -3.307e-02    -2.974e-02     3.332e-03
   27      27.000s    -2.878e-02    -2.974e-02    -9.616e-04
   28      28.000s    -3.603e-02    -2.974e-02     6.291e-03
   29      29.000s    -5.267e-02    -2.974e-02     2.293e-02
   30      30.000s    -5.264e-02    -2.974e-02     2.290e-02

============================================================

