SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000158-d2o-0.5mM-6-14-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 297 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.463e+00     4.449e-02  
T     =       2.509s       18.341s  

RSS   =    5.206e-03
SD    =    1.317e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.025e+00     2.453e-02
    2       2.000s     7.491e-01     6.994e-01    -4.970e-02
    3       3.000s     4.830e-01     4.805e-01    -2.519e-03
    4       4.000s     3.113e-01     3.329e-01     2.166e-02
    5       5.000s     2.239e-01     2.334e-01     9.485e-03
    6       6.000s     1.641e-01     1.660e-01     1.940e-03
    7       7.000s     1.126e-01     1.203e-01     7.626e-03
    8       8.000s     8.093e-02     8.911e-02     8.183e-03
    9       9.000s     6.613e-02     6.775e-02     1.621e-03
   10      10.000s     5.235e-02     5.299e-02     6.405e-04
   11      11.000s     3.781e-02     4.268e-02     4.868e-03
   12      12.000s     3.200e-02     3.538e-02     3.380e-03
   13      13.000s     3.391e-02     3.013e-02    -3.787e-03
   14      14.000s     3.417e-02     2.626e-02    -7.905e-03
   15      15.000s     3.238e-02     2.335e-02    -9.031e-03
   16      16.000s     3.461e-02     2.108e-02    -1.352e-02
   17      17.000s     3.818e-02     1.928e-02    -1.890e-02
   18      18.000s     3.459e-02     1.780e-02    -1.680e-02
   19      19.000s     2.458e-02     1.654e-02    -8.041e-03
   20      20.000s     1.675e-02     1.546e-02    -1.292e-03
   21      21.000s     1.348e-02     1.450e-02     1.019e-03
   22      22.000s     1.012e-02     1.364e-02     3.514e-03
   23      23.000s     6.101e-03     1.285e-02     6.748e-03
   24      24.000s     5.454e-03     1.213e-02     6.671e-03
   25      25.000s     7.301e-03     1.145e-02     4.152e-03
   26      26.000s     6.277e-03     1.083e-02     4.550e-03
   27      27.000s     2.296e-03     1.024e-02     7.943e-03
   28      28.000s     7.049e-04     9.688e-03     8.983e-03
   29      29.000s     2.619e-03     9.168e-03     6.549e-03
   30      30.000s     3.557e-03     8.678e-03     5.120e-03

============================================================

