SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/bmse000006-d2o-100mM-7-11-11/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 434 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.416e+00     7.490e-02  
T     =       2.434s       14.220s  

RSS   =    2.059e-03
SD    =    8.285e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.008e+00     8.411e-03
    2       2.000s     7.032e-01     6.874e-01    -1.576e-02
    3       3.000s     4.707e-01     4.733e-01     2.574e-03
    4       4.000s     3.316e-01     3.302e-01    -1.486e-03
    5       5.000s     2.386e-01     2.341e-01    -4.432e-03
    6       6.000s     1.641e-01     1.694e-01     5.288e-03
    7       7.000s     1.152e-01     1.255e-01     1.034e-02
    8       8.000s     9.001e-02     9.556e-02     5.551e-03
    9       9.000s     7.084e-02     7.485e-02     4.002e-03
   10      10.000s     5.193e-02     6.033e-02     8.395e-03
   11      11.000s     4.193e-02     4.998e-02     8.044e-03
   12      12.000s     4.134e-02     4.243e-02     1.093e-03
   13      13.000s     4.074e-02     3.680e-02    -3.938e-03
   14      14.000s     3.873e-02     3.248e-02    -6.252e-03
   15      15.000s     4.153e-02     2.906e-02    -1.246e-02
   16      16.000s     4.636e-02     2.629e-02    -2.007e-02
   17      17.000s     4.305e-02     2.397e-02    -1.908e-02
   18      18.000s     3.160e-02     2.199e-02    -9.612e-03
   19      19.000s     2.254e-02     2.026e-02    -2.275e-03
   20      20.000s     1.973e-02     1.873e-02    -9.975e-04
   21      21.000s     1.684e-02     1.736e-02     5.184e-04
   22      22.000s     1.121e-02     1.611e-02     4.905e-03
   23      23.000s     7.931e-03     1.497e-02     7.041e-03
   24      24.000s     8.677e-03     1.393e-02     5.249e-03
   25      25.000s     8.337e-03     1.296e-02     4.623e-03
   26      26.000s     5.094e-03     1.207e-02     6.972e-03
   27      27.000s     3.446e-03     1.124e-02     7.792e-03
   28      28.000s     4.964e-03     1.047e-02     5.505e-03
   29      29.000s     5.363e-03     9.755e-03     4.392e-03
   30      30.000s     3.016e-03     9.090e-03     6.074e-03

============================================================

