SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/cq_00099-100mm-d2o-12-16-10/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 756 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.046e-01     1.065e+00  
T     =       2.327s        8.263s  

RSS   =    2.387e-03
SD    =    8.919e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.012e+00     1.194e-02
    2       2.000s     8.991e-01     8.806e-01    -1.852e-02
    3       3.000s     7.844e-01     7.698e-01    -1.463e-02
    4       4.000s     6.716e-01     6.753e-01     3.629e-03
    5       5.000s     5.773e-01     5.939e-01     1.661e-02
    6       6.000s     5.061e-01     5.233e-01     1.718e-02
    7       7.000s     4.511e-01     4.618e-01     1.070e-02
    8       8.000s     4.042e-01     4.079e-01     3.749e-03
    9       9.000s     3.632e-01     3.606e-01    -2.513e-03
   10      10.000s     3.278e-01     3.190e-01    -8.783e-03
   11      11.000s     2.959e-01     2.823e-01    -1.355e-02
   12      12.000s     2.647e-01     2.499e-01    -1.473e-02
   13      13.000s     2.335e-01     2.213e-01    -1.217e-02
   14      14.000s     2.032e-01     1.960e-01    -7.200e-03
   15      15.000s     1.752e-01     1.736e-01    -1.648e-03
   16      16.000s     1.516e-01     1.538e-01     2.158e-03
   17      17.000s     1.335e-01     1.362e-01     2.749e-03
   18      18.000s     1.193e-01     1.207e-01     1.407e-03
   19      19.000s     1.061e-01     1.069e-01     7.608e-04
   20      20.000s     9.336e-02     9.471e-02     1.349e-03
   21      21.000s     8.222e-02     8.391e-02     1.691e-03
   22      22.000s     7.271e-02     7.434e-02     1.630e-03
   23      23.000s     6.304e-02     6.586e-02     2.825e-03
   24      24.000s     5.289e-02     5.835e-02     5.467e-03
   25      25.000s     4.438e-02     5.170e-02     7.326e-03
   26      26.000s     3.875e-02     4.581e-02     7.054e-03
   27      27.000s     3.459e-02     4.059e-02     6.001e-03
   28      28.000s     3.033e-02     3.596e-02     5.631e-03
   29      29.000s     2.635e-02     3.186e-02     5.507e-03
   30      30.000s     2.313e-02     2.823e-02     5.104e-03

============================================================

