SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/cq_00099-100mm-d2o-12-16-10/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 101 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.168e+00    -9.553e-03  
T     =       7.913s      175.899s  

RSS   =    1.385e-03
SD    =    6.794e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.020e+00     1.964e-02
    2       2.000s     9.017e-01     8.975e-01    -4.148e-03
    3       3.000s     8.071e-01     7.899e-01    -1.721e-02
    4       4.000s     7.113e-01     6.951e-01    -1.621e-02
    5       5.000s     6.170e-01     6.115e-01    -5.496e-03
    6       6.000s     5.329e-01     5.378e-01     4.946e-03
    7       7.000s     4.638e-01     4.729e-01     9.195e-03
    8       8.000s     4.077e-01     4.158e-01     8.109e-03
    9       9.000s     3.607e-01     3.654e-01     4.722e-03
   10      10.000s     3.199e-01     3.210e-01     1.065e-03
   11      11.000s     2.832e-01     2.818e-01    -1.396e-03
   12      12.000s     2.491e-01     2.474e-01    -1.757e-03
   13      13.000s     2.178e-01     2.170e-01    -7.996e-04
   14      14.000s     1.906e-01     1.902e-01    -3.968e-04
   15      15.000s     1.679e-01     1.667e-01    -1.278e-03
   16      16.000s     1.481e-01     1.459e-01    -2.205e-03
   17      17.000s     1.291e-01     1.276e-01    -1.525e-03
   18      18.000s     1.105e-01     1.114e-01     9.618e-04
   19      19.000s     9.353e-02     9.724e-02     3.708e-03
   20      20.000s     7.986e-02     8.473e-02     4.861e-03
   21      21.000s     6.958e-02     7.370e-02     4.128e-03
   22      22.000s     6.098e-02     6.400e-02     3.014e-03
   23      23.000s     5.262e-02     5.545e-02     2.822e-03
   24      24.000s     4.504e-02     4.792e-02     2.872e-03
   25      25.000s     3.966e-02     4.128e-02     1.622e-03
   26      26.000s     3.632e-02     3.545e-02    -8.752e-04
   27      27.000s     3.331e-02     3.031e-02    -3.000e-03
   28      28.000s     2.980e-02     2.578e-02    -4.018e-03
   29      29.000s     2.679e-02     2.180e-02    -4.986e-03
   30      30.000s     2.510e-02     1.830e-02    -6.799e-03

============================================================

