SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000161-d2o-2mM-6-6-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.254e+00     2.596e-01  
T     =       1.793s    8580529679333291.000s  

RSS   =    1.807e+00
SD    =    2.454e-01

Point       Tau          Expt          Calc       Difference

    1       1.000s     9.116e-01     9.776e-01     6.602e-02
    2       2.000s     7.571e-01     6.706e-01    -8.643e-02
    3       3.000s     5.864e-01     4.949e-01    -9.146e-02
    4       4.000s     4.306e-01     3.943e-01    -3.633e-02
    5       5.000s     3.086e-01     3.367e-01     2.815e-02
    6       6.000s     2.221e-01     3.038e-01     8.170e-02
    7       7.000s     1.632e-01     2.849e-01     1.217e-01
    8       8.000s     1.234e-01     2.741e-01     1.507e-01
    9       9.000s     9.659e-02     2.679e-01     1.713e-01
   10      10.000s     7.945e-02     2.644e-01     1.849e-01
   11      11.000s     6.988e-02     2.624e-01     1.925e-01
   12      12.000s     6.596e-02     2.612e-01     1.952e-01
   13      13.000s     6.603e-02     2.605e-01     1.945e-01
   14      14.000s     6.956e-02     2.602e-01     1.906e-01
   15      15.000s     7.625e-02     2.599e-01     1.837e-01
   16      16.000s     8.456e-02     2.598e-01     1.753e-01
   17      17.000s     9.349e-02     2.597e-01     1.662e-01
   18      18.000s     1.050e-01     2.597e-01     1.547e-01
   19      19.000s     1.215e-01     2.597e-01     1.382e-01
   20      20.000s     1.412e-01     2.597e-01     1.184e-01
   21      21.000s     1.616e-01     2.597e-01     9.808e-02
   22      22.000s     1.861e-01     2.596e-01     7.360e-02
   23      23.000s     2.229e-01     2.596e-01     3.677e-02
   24      24.000s     2.769e-01     2.596e-01    -1.725e-02
   25      25.000s     3.502e-01     2.596e-01    -9.060e-02
   26      26.000s     4.509e-01     2.596e-01    -1.913e-01
   27      27.000s     5.885e-01     2.596e-01    -3.289e-01
   28      28.000s     7.531e-01     2.596e-01    -4.934e-01
   29      29.000s     9.057e-01     2.596e-01    -6.461e-01
   30      30.000s     1.000e+00     2.596e-01    -7.404e-01

============================================================

