SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000161-d2o-2mM-6-6-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 417 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.096e+00     2.246e-01  
T     =       3.226s       17.649s  

RSS   =    1.707e-03
SD    =    7.543e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.016e+00     1.612e-02
    2       2.000s     8.159e-01     7.902e-01    -2.573e-02
    3       3.000s     6.331e-01     6.219e-01    -1.114e-02
    4       4.000s     4.895e-01     4.962e-01     6.732e-03
    5       5.000s     3.899e-01     4.018e-01     1.189e-02
    6       6.000s     3.194e-01     3.305e-01     1.110e-02
    7       7.000s     2.673e-01     2.762e-01     8.941e-03
    8       8.000s     2.314e-01     2.345e-01     3.095e-03
    9       9.000s     2.072e-01     2.022e-01    -4.971e-03
   10      10.000s     1.856e-01     1.768e-01    -8.817e-03
   11      11.000s     1.633e-01     1.566e-01    -6.640e-03
   12      12.000s     1.436e-01     1.404e-01    -3.244e-03
   13      13.000s     1.289e-01     1.270e-01    -1.931e-03
   14      14.000s     1.174e-01     1.159e-01    -1.473e-03
   15      15.000s     1.077e-01     1.065e-01    -1.183e-03
   16      16.000s     1.006e-01     9.841e-02    -2.199e-03
   17      17.000s     9.450e-02     9.136e-02    -3.138e-03
   18      18.000s     8.590e-02     8.513e-02    -7.693e-04
   19      19.000s     7.563e-02     7.957e-02     3.936e-03
   20      20.000s     6.862e-02     7.455e-02     5.927e-03
   21      21.000s     6.658e-02     6.997e-02     3.385e-03
   22      22.000s     6.572e-02     6.577e-02     4.864e-05
   23      23.000s     6.269e-02     6.189e-02    -7.922e-04
   24      24.000s     5.832e-02     5.830e-02    -1.743e-05
   25      25.000s     5.427e-02     5.495e-02     6.758e-04
   26      26.000s     5.038e-02     5.182e-02     1.442e-03
   27      27.000s     4.674e-02     4.890e-02     2.155e-03
   28      28.000s     4.476e-02     4.615e-02     1.387e-03
   29      29.000s     4.452e-02     4.357e-02    -9.542e-04
   30      30.000s     4.419e-02     4.114e-02    -3.055e-03

============================================================

