SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000004-d2o-2mM-7-19-11-pH-6.72/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 144 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.429e+00     9.065e-03  
T     =       3.132s      176.242s  

RSS   =    1.111e-02
SD    =    1.924e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.047e+00     4.713e-02
    2       2.000s     8.232e-01     7.633e-01    -5.982e-02
    3       3.000s     5.954e-01     5.571e-01    -3.831e-02
    4       4.000s     4.054e-01     4.072e-01     1.819e-03
    5       5.000s     2.806e-01     2.983e-01     1.772e-02
    6       6.000s     1.989e-01     2.191e-01     2.020e-02
    7       7.000s     1.390e-01     1.616e-01     2.259e-02
    8       8.000s     9.777e-02     1.197e-01     2.197e-02
    9       9.000s     7.376e-02     8.933e-02     1.557e-02
   10      10.000s     5.815e-02     6.722e-02     9.066e-03
   11      11.000s     4.544e-02     5.114e-02     5.696e-03
   12      12.000s     3.777e-02     3.944e-02     1.669e-03
   13      13.000s     3.587e-02     3.093e-02    -4.939e-03
   14      14.000s     3.554e-02     2.473e-02    -1.081e-02
   15      15.000s     3.462e-02     2.021e-02    -1.441e-02
   16      16.000s     3.475e-02     1.691e-02    -1.784e-02
   17      17.000s     3.496e-02     1.451e-02    -2.045e-02
   18      18.000s     3.093e-02     1.275e-02    -1.819e-02
   19      19.000s     2.248e-02     1.145e-02    -1.102e-02
   20      20.000s     1.499e-02     1.050e-02    -4.486e-03
   21      21.000s     1.157e-02     9.797e-03    -1.774e-03
   22      22.000s     9.584e-03     9.273e-03    -3.113e-04
   23      23.000s     6.615e-03     8.880e-03     2.265e-03
   24      24.000s     4.296e-03     8.582e-03     4.286e-03
   25      25.000s     4.003e-03     8.354e-03     4.351e-03
   26      26.000s     3.795e-03     8.176e-03     4.382e-03
   27      27.000s     2.226e-03     8.035e-03     5.809e-03
   28      28.000s     1.089e-03     7.921e-03     6.832e-03
   29      29.000s     1.849e-03     7.826e-03     5.977e-03
   30      30.000s     2.831e-03     7.745e-03     4.914e-03

============================================================

