SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000004-d2o-2mM-7-19-11-pH-6.72/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 226 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.357e+00     2.131e-02  
T     =       3.464s       93.885s  

RSS   =    9.067e-03
SD    =    1.738e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.038e+00     3.817e-02
    2       2.000s     8.157e-01     7.829e-01    -3.278e-02
    3       3.000s     6.293e-01     5.916e-01    -3.766e-02
    4       4.000s     4.697e-01     4.482e-01    -2.151e-02
    5       5.000s     3.377e-01     3.407e-01     3.018e-03
    6       6.000s     2.371e-01     2.601e-01     2.300e-02
    7       7.000s     1.722e-01     1.997e-01     2.754e-02
    8       8.000s     1.326e-01     1.544e-01     2.180e-02
    9       9.000s     1.027e-01     1.204e-01     1.765e-02
   10      10.000s     7.862e-02     9.484e-02     1.622e-02
   11      11.000s     6.437e-02     7.566e-02     1.128e-02
   12      12.000s     5.818e-02     6.124e-02     3.055e-03
   13      13.000s     5.368e-02     5.039e-02    -3.294e-03
   14      14.000s     5.021e-02     4.221e-02    -8.004e-03
   15      15.000s     5.084e-02     3.603e-02    -1.480e-02
   16      16.000s     5.291e-02     3.136e-02    -2.155e-02
   17      17.000s     5.021e-02     2.781e-02    -2.240e-02
   18      18.000s     4.270e-02     2.511e-02    -1.759e-02
   19      19.000s     3.576e-02     2.304e-02    -1.272e-02
   20      20.000s     3.112e-02     2.144e-02    -9.683e-03
   21      21.000s     2.591e-02     2.020e-02    -5.710e-03
   22      22.000s     1.982e-02     1.923e-02    -5.893e-04
   23      23.000s     1.597e-02     1.845e-02     2.480e-03
   24      24.000s     1.476e-02     1.783e-02     3.075e-03
   25      25.000s     1.314e-02     1.732e-02     4.183e-03
   26      26.000s     1.044e-02     1.690e-02     6.462e-03
   27      27.000s     9.062e-03     1.654e-02     7.481e-03
   28      28.000s     9.313e-03     1.623e-02     6.920e-03
   29      29.000s     8.687e-03     1.596e-02     7.274e-03
   30      30.000s     6.719e-03     1.572e-02     8.997e-03

============================================================

