SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000005-d2o-2mM-7-19-11-pH-7.4/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 131 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.383e+00     1.401e-02  
T     =       3.241s      153.102s  

RSS   =    6.045e-03
SD    =    1.419e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.030e+00     2.953e-02
    2       2.000s     7.921e-01     7.598e-01    -3.233e-02
    3       3.000s     5.840e-01     5.617e-01    -2.231e-02
    4       4.000s     4.267e-01     4.161e-01    -1.056e-02
    5       5.000s     3.101e-01     3.092e-01    -9.474e-04
    6       6.000s     2.165e-01     2.306e-01     1.411e-02
    7       7.000s     1.481e-01     1.729e-01     2.471e-02
    8       8.000s     1.082e-01     1.304e-01     2.220e-02
    9       9.000s     8.509e-02     9.925e-02     1.416e-02
   10      10.000s     6.631e-02     7.632e-02     1.001e-02
   11      11.000s     5.192e-02     5.946e-02     7.536e-03
   12      12.000s     4.537e-02     4.705e-02     1.674e-03
   13      13.000s     4.337e-02     3.791e-02    -5.457e-03
   14      14.000s     4.151e-02     3.118e-02    -1.033e-02
   15      15.000s     4.080e-02     2.621e-02    -1.458e-02
   16      16.000s     4.196e-02     2.255e-02    -1.942e-02
   17      17.000s     4.064e-02     1.983e-02    -2.081e-02
   18      18.000s     3.393e-02     1.781e-02    -1.611e-02
   19      19.000s     2.576e-02     1.631e-02    -9.450e-03
   20      20.000s     2.075e-02     1.519e-02    -5.564e-03
   21      21.000s     1.766e-02     1.434e-02    -3.324e-03
   22      22.000s     1.358e-02     1.370e-02     1.202e-04
   23      23.000s     9.641e-03     1.320e-02     3.562e-03
   24      24.000s     8.124e-03     1.282e-02     4.697e-03
   25      25.000s     7.699e-03     1.252e-02     4.821e-03
   26      26.000s     6.155e-03     1.228e-02     6.124e-03
   27      27.000s     4.542e-03     1.208e-02     7.539e-03
   28      28.000s     4.653e-03     1.192e-02     7.264e-03
   29      29.000s     5.203e-03     1.178e-02     6.572e-03
   30      30.000s     4.220e-03     1.165e-02     7.433e-03

============================================================

