SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000005-d2o-2mM-7-19-11-pH-7.4/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 349 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.375e+00     2.919e-02  
T     =       3.188s       36.115s  

RSS   =    6.011e-03
SD    =    1.416e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.033e+00     3.284e-02
    2       2.000s     8.050e-01     7.616e-01    -4.341e-02
    3       3.000s     5.853e-01     5.632e-01    -2.209e-02
    4       4.000s     4.162e-01     4.181e-01     1.913e-03
    5       5.000s     3.036e-01     3.118e-01     8.206e-03
    6       6.000s     2.227e-01     2.340e-01     1.129e-02
    7       7.000s     1.614e-01     1.770e-01     1.562e-02
    8       8.000s     1.197e-01     1.352e-01     1.548e-02
    9       9.000s     9.271e-02     1.044e-01     1.172e-02
   10      10.000s     7.252e-02     8.181e-02     9.293e-03
   11      11.000s     5.791e-02     6.514e-02     7.228e-03
   12      12.000s     5.055e-02     5.281e-02     2.254e-03
   13      13.000s     4.727e-02     4.366e-02    -3.612e-03
   14      14.000s     4.409e-02     3.683e-02    -7.267e-03
   15      15.000s     4.243e-02     3.170e-02    -1.073e-02
   16      16.000s     4.406e-02     2.783e-02    -1.623e-02
   17      17.000s     4.489e-02     2.487e-02    -2.002e-02
   18      18.000s     4.013e-02     2.258e-02    -1.755e-02
   19      19.000s     3.182e-02     2.079e-02    -1.103e-02
   20      20.000s     2.521e-02     1.937e-02    -5.845e-03
   21      21.000s     2.107e-02     1.821e-02    -2.858e-03
   22      22.000s     1.688e-02     1.726e-02     3.767e-04
   23      23.000s     1.279e-02     1.645e-02     3.664e-03
   24      24.000s     1.084e-02     1.576e-02     4.917e-03
   25      25.000s     1.039e-02     1.515e-02     4.758e-03
   26      26.000s     9.114e-03     1.460e-02     5.489e-03
   27      27.000s     7.233e-03     1.411e-02     6.875e-03
   28      28.000s     6.552e-03     1.365e-02     7.102e-03
   29      29.000s     6.658e-03     1.323e-02     6.572e-03
   30      30.000s     5.841e-03     1.283e-02     6.990e-03

============================================================

