SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000006-d2o-2mM-7-19-11-pH-6.11/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.407e+00     5.519e-03  
T     =       3.308s    4207692277737.284s  

RSS   =    1.069e-02
SD    =    1.888e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.045e+00     4.511e-02
    2       2.000s     8.188e-01     7.739e-01    -4.494e-02
    3       3.000s     6.134e-01     5.734e-01    -3.996e-02
    4       4.000s     4.422e-01     4.253e-01    -1.696e-02
    5       5.000s     3.122e-01     3.157e-01     3.558e-03
    6       6.000s     2.128e-01     2.348e-01     2.203e-02
    7       7.000s     1.430e-01     1.750e-01     3.201e-02
    8       8.000s     1.024e-01     1.308e-01     2.835e-02
    9       9.000s     7.954e-02     9.809e-02     1.855e-02
   10      10.000s     6.147e-02     7.394e-02     1.247e-02
   11      11.000s     4.630e-02     5.609e-02     9.791e-03
   12      12.000s     3.766e-02     4.289e-02     5.239e-03
   13      13.000s     3.452e-02     3.314e-02    -1.372e-03
   14      14.000s     3.305e-02     2.594e-02    -7.118e-03
   15      15.000s     3.281e-02     2.061e-02    -1.220e-02
   16      16.000s     3.443e-02     1.667e-02    -1.776e-02
   17      17.000s     3.502e-02     1.376e-02    -2.126e-02
   18      18.000s     3.112e-02     1.161e-02    -1.951e-02
   19      19.000s     2.393e-02     1.002e-02    -1.391e-02
   20      20.000s     1.727e-02     8.847e-03    -8.426e-03
   21      21.000s     1.251e-02     7.979e-03    -4.535e-03
   22      22.000s     8.797e-03     7.337e-03    -1.460e-03
   23      23.000s     6.094e-03     6.862e-03     7.683e-04
   24      24.000s     4.765e-03     6.512e-03     1.747e-03
   25      25.000s     3.779e-03     6.253e-03     2.473e-03
   26      26.000s     2.135e-03     6.061e-03     3.926e-03
   27      27.000s     6.501e-04     5.920e-03     5.269e-03
   28      28.000s     2.211e-04     5.815e-03     5.594e-03
   29      29.000s    -5.297e-05     5.738e-03     5.791e-03
   30      30.000s    -1.039e-03     5.680e-03     6.720e-03

============================================================

