SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000006-d2o-2mM-7-19-11-pH-6.11/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 316 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.329e+00     3.791e-02  
T     =       3.416s       34.541s  

RSS   =    4.748e-03
SD    =    1.258e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.029e+00     2.863e-02
    2       2.000s     8.099e-01     7.759e-01    -3.399e-02
    3       3.000s     6.070e-01     5.871e-01    -1.998e-02
    4       4.000s     4.490e-01     4.459e-01    -3.065e-03
    5       5.000s     3.364e-01     3.404e-01     3.955e-03
    6       6.000s     2.514e-01     2.614e-01     9.953e-03
    7       7.000s     1.881e-01     2.022e-01     1.410e-02
    8       8.000s     1.454e-01     1.579e-01     1.245e-02
    9       9.000s     1.152e-01     1.246e-01     9.435e-03
   10      10.000s     8.985e-02     9.955e-02     9.700e-03
   11      11.000s     7.099e-02     8.068e-02     9.694e-03
   12      12.000s     6.100e-02     6.642e-02     5.422e-03
   13      13.000s     5.557e-02     5.560e-02     2.995e-05
   14      14.000s     5.043e-02     4.735e-02    -3.085e-03
   15      15.000s     4.813e-02     4.103e-02    -7.098e-03
   16      16.000s     5.098e-02     3.615e-02    -1.483e-02
   17      17.000s     5.359e-02     3.235e-02    -2.124e-02
   18      18.000s     4.926e-02     2.936e-02    -1.990e-02
   19      19.000s     3.957e-02     2.698e-02    -1.259e-02
   20      20.000s     3.113e-02     2.506e-02    -6.070e-03
   21      21.000s     2.620e-02     2.349e-02    -2.709e-03
   22      22.000s     2.235e-02     2.218e-02    -1.728e-04
   23      23.000s     1.871e-02     2.106e-02     2.358e-03
   24      24.000s     1.657e-02     2.011e-02     3.536e-03
   25      25.000s     1.537e-02     1.927e-02     3.892e-03
   26      26.000s     1.316e-02     1.852e-02     5.363e-03
   27      27.000s     1.043e-02     1.784e-02     7.416e-03
   28      28.000s     9.428e-03     1.722e-02     7.795e-03
   29      29.000s     1.004e-02     1.665e-02     6.612e-03
   30      30.000s     9.876e-03     1.611e-02     6.235e-03

============================================================

