SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000061-d2o-2mM-7-19-11/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 263 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.312e+00     1.964e-02  
T     =       3.830s       68.480s  

RSS   =    6.638e-03
SD    =    1.488e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.030e+00     2.988e-02
    2       2.000s     8.156e-01     7.974e-01    -1.825e-02
    3       3.000s     6.483e-01     6.183e-01    -3.006e-02
    4       4.000s     5.039e-01     4.802e-01    -2.365e-02
    5       5.000s     3.802e-01     3.739e-01    -6.287e-03
    6       6.000s     2.809e-01     2.919e-01     1.104e-02
    7       7.000s     2.082e-01     2.287e-01     2.044e-02
    8       8.000s     1.567e-01     1.800e-01     2.322e-02
    9       9.000s     1.192e-01     1.424e-01     2.316e-02
   10      10.000s     9.325e-02     1.134e-01     2.011e-02
   11      11.000s     7.787e-02     9.097e-02     1.310e-02
   12      12.000s     6.943e-02     7.367e-02     4.232e-03
   13      13.000s     6.429e-02     6.029e-02    -4.008e-03
   14      14.000s     6.136e-02     4.993e-02    -1.143e-02
   15      15.000s     5.949e-02     4.191e-02    -1.759e-02
   16      16.000s     5.572e-02     3.567e-02    -2.005e-02
   17      17.000s     4.856e-02     3.082e-02    -1.774e-02
   18      18.000s     4.034e-02     2.704e-02    -1.330e-02
   19      19.000s     3.375e-02     2.408e-02    -9.675e-03
   20      20.000s     2.850e-02     2.175e-02    -6.749e-03
   21      21.000s     2.325e-02     1.991e-02    -3.337e-03
   22      22.000s     1.862e-02     1.845e-02    -1.722e-04
   23      23.000s     1.577e-02     1.728e-02     1.505e-03
   24      24.000s     1.391e-02     1.633e-02     2.418e-03
   25      25.000s     1.165e-02     1.556e-02     3.904e-03
   26      26.000s     9.418e-03     1.492e-02     5.499e-03
   27      27.000s     8.399e-03     1.438e-02     5.984e-03
   28      28.000s     8.208e-03     1.393e-02     5.721e-03
   29      29.000s     7.605e-03     1.354e-02     5.933e-03
   30      30.000s     6.611e-03     1.320e-02     6.585e-03

============================================================

