SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000063-d2o-2mM-6-19-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 158 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.092e+00     2.212e-01  
T     =       4.174s        4.174s  

RSS   =    1.986e-02
SD    =    2.573e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.033e+00     3.341e-02
    2       2.000s     8.025e-01     8.132e-01     1.072e-02
    3       3.000s     6.670e-01     6.400e-01    -2.698e-02
    4       4.000s     5.663e-01     5.036e-01    -6.269e-02
    5       5.000s     4.504e-01     3.963e-01    -5.408e-02
    6       6.000s     3.229e-01     3.119e-01    -1.105e-02
    7       7.000s     2.193e-01     2.454e-01     2.612e-02
    8       8.000s     1.517e-01     1.932e-01     4.144e-02
    9       9.000s     1.065e-01     1.520e-01     4.545e-02
   10      10.000s     7.468e-02     1.196e-01     4.493e-02
   11      11.000s     5.684e-02     9.413e-02     3.729e-02
   12      12.000s     4.934e-02     7.408e-02     2.474e-02
   13      13.000s     4.496e-02     5.829e-02     1.334e-02
   14      14.000s     4.345e-02     4.587e-02     2.429e-03
   15      15.000s     4.695e-02     3.610e-02    -1.085e-02
   16      16.000s     4.979e-02     2.841e-02    -2.138e-02
   17      17.000s     4.464e-02     2.236e-02    -2.229e-02
   18      18.000s     3.450e-02     1.759e-02    -1.690e-02
   19      19.000s     2.787e-02     1.385e-02    -1.402e-02
   20      20.000s     2.557e-02     1.090e-02    -1.468e-02
   21      21.000s     2.196e-02     8.574e-03    -1.339e-02
   22      22.000s     1.613e-02     6.748e-03    -9.385e-03
   23      23.000s     1.245e-02     5.310e-03    -7.139e-03
   24      24.000s     1.170e-02     4.179e-03    -7.526e-03
   25      25.000s     1.027e-02     3.288e-03    -6.981e-03
   26      26.000s     7.252e-03     2.588e-03    -4.665e-03
   27      27.000s     5.363e-03     2.036e-03    -3.327e-03
   28      28.000s     5.110e-03     1.603e-03    -3.507e-03
   29      29.000s     4.266e-03     1.261e-03    -3.005e-03
   30      30.000s     2.704e-03     9.925e-04    -1.711e-03

============================================================

