SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000285-d2o-2mM-6-7-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.310e+00     1.955e-02  
T     =       4.024s    181086479806319.562s  

RSS   =    6.024e-03
SD    =    1.417e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.041e+00     4.140e-02
    2       2.000s     8.507e-01     8.165e-01    -3.412e-02
    3       3.000s     6.811e-01     6.412e-01    -3.994e-02
    4       4.000s     5.205e-01     5.044e-01    -1.608e-02
    5       5.000s     3.902e-01     3.977e-01     7.451e-03
    6       6.000s     2.965e-01     3.145e-01     1.801e-02
    7       7.000s     2.317e-01     2.496e-01     1.790e-02
    8       8.000s     1.844e-01     1.990e-01     1.455e-02
    9       9.000s     1.478e-01     1.595e-01     1.164e-02
   10      10.000s     1.203e-01     1.287e-01     8.440e-03
   11      11.000s     1.001e-01     1.047e-01     4.601e-03
   12      12.000s     8.402e-02     8.594e-02     1.928e-03
   13      13.000s     7.023e-02     7.133e-02     1.109e-03
   14      14.000s     5.971e-02     5.994e-02     2.254e-04
   15      15.000s     5.306e-02     5.105e-02    -2.011e-03
   16      16.000s     4.826e-02     4.412e-02    -4.138e-03
   17      17.000s     4.331e-02     3.871e-02    -4.600e-03
   18      18.000s     3.870e-02     3.450e-02    -4.203e-03
   19      19.000s     3.542e-02     3.121e-02    -4.213e-03
   20      20.000s     3.280e-02     2.864e-02    -4.159e-03
   21      21.000s     3.004e-02     2.664e-02    -3.397e-03
   22      22.000s     2.797e-02     2.508e-02    -2.890e-03
   23      23.000s     2.728e-02     2.386e-02    -3.417e-03
   24      24.000s     2.659e-02     2.292e-02    -3.678e-03
   25      25.000s     2.448e-02     2.218e-02    -2.303e-03
   26      26.000s     2.193e-02     2.160e-02    -3.299e-04
   27      27.000s     2.074e-02     2.115e-02     4.029e-04
   28      28.000s     2.066e-02     2.080e-02     1.322e-04
   29      29.000s     2.014e-02     2.052e-02     3.811e-04
   30      30.000s     1.899e-02     2.031e-02     1.314e-03

============================================================

